CustomerID,Age,Gender,Tenure_Months,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complains,Satisfaction_Score,Churn
CUST00096,33,Male,55,128383,1,1,1,144797,0,4,0
CUST00097,21,Female,24,30416,2,0,0,129705,0,3,0
CUST00098,32,Male,95,127862,2,1,0,170849,0,4,0
CUST00099,51,Female,44,31045,2,0,1,168724,0,4,0
CUST00100,34,Male,,43174,2,1,0,,0,5,0
CUST00101,26,Male,51,120709,2,1,1,179071,0,3,0
CUST00102,46,Male,24,30250,,,1,54388,0,4,0
CUST00103,53,Female,11,174107,1,1,0,57165,0,2,1
CUST00104,39,,74,120191,1,1,0,46289,0,3,0
CUST00105,25,Male,64,128596,1,0,1,177320,0,4,0
CUST00106,38,Female,5,1719,3,1,0,173368,1,1,1
CUST00107,27,Female,41,79649,1,1,0,51339,0,4,0
CUST00108,30,Male,27,16331,4,1,0,160512,1,2,1
CUST00109,35,Male,91,139557,1,,1,,0,4,0
CUST00110,21,Female,32,29845,1,1,0,46435,1,3,0
CUST00111,39,Male,58,44888,1,1,1,57129,1,,0
CUST00112,32,Female,63,99512,,0,1,172675,0,4,0
CUST00113,36,Male,28,103001,1,1,0,139830,0,5,0
CUST00114,48,Female,86,115560,2,,1,88555,0,5,0
CUST00115,39,Female,73,135466,2,1,0,177084,0,5,0
CUST00116,40,Male,6,155828,1,1,1,145310,0,2,1
CUST00117,30,Female,35,154062,,1,0,167044,1,3,1
CUST00118,35,Male,27,54140,2,0,1,40003,0,5,0
CUST00119,47,Female,63,85437,1,1,1,92221,0,4,0
CUST00120,52,Male,32,25079,4,1,0,79982,1,3,1
CUST00121,43,Female,,116732,1,0,1,36560,0,,0
CUST00122,51,,9,28829,1,0,1,148182,0,3,1
CUST00123,37,Female,12,86164,1,1,1,55326,0,5,0
CUST00124,49,Male,86,135376,,1,1,121804,0,5,0
CUST00125,26,Male,86,76854,1,1,1,71906,0,4,0
CUST00126,45,Female,22,118680,1,1,0,,0,5,0
CUST00127,38,Male,25,50858,1,,1,96376,0,3,0
CUST00128,53,Male,18,25908,3,1,0,86619,1,1,1
CUST00129,41,Female,37,55376,1,0,0,,0,4,0
CUST00130,36,Female,69,108600,,1,1,77459,0,5,0
CUST00131,36,Male,26,,4,0,0,141363,1,1,1
CUST00132,41,Male,78,120928,1,0,1,101362,1,5,0
CUST00133,42,Female,13,,3,1,1,50113,0,3,1
CUST00134,49,Female,,56586,1,1,0,136509,0,4,0
CUST00135,52,Female,58,38964,1,1,1,179594,1,4,0
CUST00136,32,Female,59,79736,1,0,0,74501,1,,0
CUST00137,45,,57,38982,1,0,1,122458,0,4,0
CUST00138,35,Female,13,4952,1,0,0,78054,1,3,1
CUST00139,53,Female,,16707,3,1,0,130322,0,2,1
CUST00140,38,Female,18,14346,1,1,1,32922,1,1,1
CUST00141,28,Female,86,30005,2,1,1,77207,1,3,0
CUST00142,33,Female,17,20599,3,1,0,143404,1,2,1
CUST00143,52,Female,23,,1,0,,136397,1,3,1
CUST00144,31,Male,,41422,2,1,1,77980,0,4,0
CUST00145,31,Female,75,70480,1,0,1,55728,0,3,0
CUST00146,36,Female,71,55926,1,,1,116085,0,4,0
CUST00147,46,Male,61,50532,1,0,1,125826,0,5,0
CUST00148,37,Male,7,15361,,1,0,,1,3,1
CUST00149,42,Male,88,92046,1,0,1,110618,0,3,0
CUST00150,50,Female,56,69686,1,1,0,101809,0,5,0
CUST00151,51,Female,75,49576,1,1,1,92456,0,3,0
CUST00152,28,Male,12,43922,1,1,1,90904,0,5,0
CUST00153,34,Male,65,59438,2,1,0,47992,0,5,0
CUST00154,39,Female,36,95844,1,1,1,117519,0,3,0
CUST00155,27,Female,82,27480,1,0,1,91127,0,5,0
CUST00156,43,Female,94,22350,1,0,,70391,0,4,0
CUST00157,50,Male,13,,1,0,,47404,1,1,1
CUST00158,52,Female,,197316,2,0,1,177414,0,2,1
CUST00159,25,,55,20741,2,1,,57788,1,4,0
CUST00160,36,Female,,62994,2,1,1,158941,0,4,0
CUST00161,45,Male,69,49461,1,1,1,148103,0,5,0
CUST00162,33,Female,53,101479,2,0,1,144061,0,4,0
CUST00163,34,Female,48,70424,1,1,1,83844,0,5,0
CUST00164,46,Female,,,1,1,0,121381,0,2,1
CUST00165,37,Female,31,112703,1,1,1,82885,0,5,0
CUST00166,49,Female,95,36882,1,1,0,64591,0,3,0
CUST00167,47,Female,71,55685,2,1,1,76152,1,4,0
CUST00168,52,Male,91,96423,1,0,1,,1,5,0
CUST00169,,Male,,175790,2,0,0,81364,0,1,1
CUST00170,32,Female,76,81278,2,0,1,165421,0,5,0
CUST00171,51,Female,57,26870,1,1,0,121854,0,5,0
CUST00172,54,Female,61,78343,2,0,0,62528,0,3,0
CUST00173,22,Female,42,,1,1,1,,0,3,0
CUST00174,47,Male,7,29739,4,1,0,165816,0,3,1
CUST00175,52,Male,28,65650,1,0,0,61528,0,3,0
CUST00176,33,Male,40,89790,1,0,0,98460,0,5,0
CUST00177,44,Male,19,153306,2,0,0,32816,1,1,1
CUST00178,50,Female,36,,3,0,,86018,1,,1
CUST00179,27,Female,56,58422,1,1,1,78084,0,4,0
CUST00180,38,Male,50,,1,1,1,145827,0,3,0
CUST00181,40,Male,14,27263,1,1,1,35429,,3,0
CUST00182,41,Male,35,175710,3,1,0,41288,1,3,1
CUST00183,37,Male,21,,1,,1,73689,0,,0
CUST00184,32,Female,43,120475,1,1,0,95928,0,3,0
CUST00185,38,Female,88,69549,2,1,1,80589,0,3,0
CUST00186,,,26,41501,1,0,1,,0,5,0
CUST00187,33,Female,17,6502,4,1,0,105650,1,2,1
CUST00188,50,,35,,1,0,1,108198,0,4,0
CUST00189,30,Male,24,103442,2,1,0,104226,0,,0
CUST00190,44,Male,23,125248,1,1,1,101588,0,4,0
CUST00191,35,Female,83,84242,1,1,,70844,0,5,0
CUST00192,29,Male,69,56259,1,1,1,162723,0,5,0
CUST00193,52,Male,38,35694,2,1,1,60684,0,5,0
CUST00194,53,Male,22,135221,1,1,0,77836,0,3,0
CUST00195,29,Female,,115020,1,1,1,34968,0,3,0
CUST00196,38,Female,10,152224,3,1,0,143635,1,3,1
CUST00197,48,Female,,178858,1,1,0,41143,1,3,1
CUST00198,42,Male,41,127753,1,1,0,133634,0,3,0
CUST00199,46,Male,27,27541,1,1,0,99345,0,4,0
CUST00200,41,Male,74,75078,1,1,1,174537,1,5,0
CUST00201,29,,7,24879,4,0,1,49348,0,3,1
CUST00202,37,Male,31,79474,1,1,1,177838,0,3,0
CUST00203,21,Female,36,23837,1,1,,179183,0,4,0
CUST00204,38,Female,57,39696,1,1,0,128113,1,4,0
CUST00205,36,Female,12,18964,1,0,0,42204,1,2,1
CUST00206,36,Male,50,127311,1,1,1,72745,0,5,0
CUST00207,49,Male,6,157365,2,1,0,155749,1,3,1
CUST00208,51,Female,,58190,,1,1,113752,0,4,0
CUST00209,27,Male,54,139880,1,1,1,31936,0,5,0
CUST00210,28,Male,55,101604,1,1,0,32063,0,5,0
CUST00211,48,Female,31,84316,1,1,1,109532,1,3,0
CUST00212,51,Female,54,93102,2,1,0,69126,0,3,0
CUST00213,39,Male,15,22444,2,1,0,,1,1,1
CUST00214,35,Male,26,4692,1,1,0,176840,1,3,1
CUST00215,26,Female,53,51889,2,1,1,,0,3,0
CUST00216,,Female,78,73745,1,1,1,134825,0,3,0
CUST00217,52,Female,81,120809,2,1,1,112335,0,4,0
CUST00218,40,Male,26,79092,1,1,0,122860,0,5,0
CUST00219,38,Female,23,23764,4,0,0,162106,,3,1
CUST00220,29,Female,30,112014,1,1,1,120992,0,3,0
CUST00221,38,Male,13,5812,,1,0,135328,1,2,1
CUST00222,49,Male,26,87628,2,1,1,37961,0,,0
CUST00223,45,Female,77,135231,1,1,,104314,,3,0
CUST00224,37,Female,94,79033,2,1,0,174691,0,3,0
CUST00225,30,Female,69,69580,1,0,1,42619,0,4,0
CUST00226,26,Female,2,25896,3,1,0,41870,0,3,1
CUST00227,39,Male,60,102140,1,1,0,93335,1,4,0
CUST00228,54,Male,23,92003,1,1,1,69814,0,3,0
CUST00229,57,Male,69,106989,1,1,1,31782,0,4,0
CUST00230,30,Female,27,172908,4,0,0,49348,0,3,1
CUST00231,47,Male,66,90403,2,0,1,131469,0,5,0
CUST00232,49,Female,,29967,4,0,0,116968,0,1,1
CUST00233,28,Female,12,10845,1,1,1,151225,1,3,1
CUST00234,40,Female,47,28725,1,0,0,144567,0,4,0
CUST00235,44,Female,,39735,1,0,,68672,0,,0
CUST00236,41,Female,29,138746,1,1,1,79926,0,4,0
CUST00237,30,Female,2,15500,3,1,0,63598,1,2,1
CUST00238,29,Male,93,37256,2,1,1,81452,0,4,0
CUST00239,35,Female,13,32521,2,0,1,69448,0,5,0
CUST00240,27,Female,17,45531,2,0,1,110825,0,3,0
CUST00241,50,Male,32,179202,1,1,0,44044,1,3,1
CUST00242,19,Male,58,30081,1,0,0,140271,0,5,0
CUST00243,,Female,24,20404,2,1,0,143010,1,3,1
CUST00244,35,Male,81,56891,1,1,1,,0,5,0
CUST00245,46,Female,78,86240,2,1,1,138902,0,4,0
CUST00246,27,Male,73,124831,1,1,1,80064,1,,0
CUST00247,54,Male,8,19871,3,0,1,96631,1,3,1
CUST00248,38,Female,55,80794,1,1,1,101412,0,4,0
CUST00249,42,Female,29,28256,1,1,1,81148,1,1,1
CUST00250,19,Female,25,132233,,1,1,47966,0,4,0
CUST00251,,Female,17,98874,2,0,1,120543,1,5,0
CUST00252,21,Female,23,104852,1,0,0,154044,0,4,0
CUST00253,42,Female,82,125231,1,0,1,142644,0,,0
CUST00254,45,Female,80,57866,2,1,1,85899,1,4,0
CUST00255,50,Male,88,52490,1,1,1,98203,0,4,0
CUST00256,51,Male,28,124036,2,1,0,42598,0,5,0
CUST00257,54,Male,21,,2,1,1,77035,1,3,1
CUST00258,46,Female,24,74353,1,1,1,66309,0,3,0
CUST00259,52,Male,90,96482,1,0,0,51731,0,3,0
CUST00260,20,Female,80,67798,2,1,1,103033,0,3,0
CUST00261,47,Female,36,196853,3,1,0,115866,0,3,1
CUST00262,37,Male,52,69457,1,1,1,138496,0,5,0
CUST00263,37,Male,14,17290,1,1,1,89503,1,3,1
CUST00264,32,Male,42,,2,1,1,166848,0,4,0
CUST00265,33,Female,19,,2,1,1,57708,0,3,1
CUST00266,54,Male,61,69787,1,1,1,35428,0,4,0
CUST00267,37,Male,36,109074,1,1,0,103277,0,5,0
CUST00268,48,Male,18,137201,1,,1,128941,1,4,0
CUST00269,54,Male,75,65412,,0,1,148162,0,3,0
CUST00270,28,Female,,130208,1,1,1,43538,1,4,0
CUST00271,27,Male,,6693,4,1,0,106520,1,3,1
CUST00272,47,Male,43,31079,1,1,1,155680,0,5,0
CUST00273,,Male,46,116274,1,1,0,84478,0,5,0
CUST00274,,Female,21,57667,1,0,0,120593,0,3,0
CUST00275,41,,90,65995,1,0,1,90976,0,3,0
CUST00276,34,Male,33,20582,2,0,1,145039,0,4,0
CUST00277,45,Male,48,20678,1,,0,165264,0,3,0
CUST00278,36,Male,43,139127,,1,1,59058,0,3,0
CUST00279,52,Female,,20137,1,1,1,114261,1,4,0
CUST00280,40,Male,63,67780,1,0,0,140538,1,5,0
CUST00281,50,Female,23,196934,1,0,0,163385,1,2,1
CUST00282,51,Male,23,,2,1,1,57642,0,3,1
CUST00283,31,Male,94,108342,2,1,0,57151,0,3,0
CUST00284,39,Female,77,70884,,1,1,47356,0,,0
CUST00285,26,Female,33,47879,2,0,1,163810,0,3,0
CUST00286,,Male,22,73078,1,,0,154708,0,3,0
CUST00287,26,,33,29086,1,1,1,114203,1,1,1
CUST00288,20,Female,11,24281,1,0,0,162456,1,3,1
CUST00289,26,Male,51,120137,2,1,1,33055,0,5,0
CUST00290,,Male,45,107150,2,1,1,144438,0,4,0
CUST00291,24,Male,50,125321,1,1,1,169508,0,5,0
CUST00292,,Female,33,159000,4,1,0,162604,0,3,1
CUST00293,41,Male,74,81616,1,1,,78358,0,3,0
CUST00294,46,Female,1,13878,4,1,1,139715,1,3,1
CUST00295,30,Male,19,47161,1,1,1,86719,0,4,0
CUST00296,29,Female,14,36244,2,0,1,82943,0,5,0
CUST00297,20,Female,40,100600,1,0,1,,1,3,0
CUST00298,27,Male,72,128143,1,1,0,137437,0,4,0
CUST00299,48,,15,117541,2,,1,110219,0,4,0
CUST00300,29,Male,78,48377,1,0,1,57930,0,5,0
CUST00301,35,Female,89,32607,1,0,0,47354,0,3,0
CUST00302,35,Female,79,20807,1,1,0,165123,0,3,0
CUST00303,34,Male,57,29216,2,0,1,,0,3,0
CUST00304,29,Female,83,46403,1,1,1,127867,0,4,0
CUST00305,27,Male,,49706,1,,1,57730,0,5,0
CUST00306,36,Male,48,116177,2,0,1,82966,0,3,0
CUST00307,37,Male,35,16060,2,0,0,85038,1,2,1
CUST00308,43,Female,34,123567,1,0,1,48380,0,4,0
CUST00309,27,Male,2,9805,1,1,0,123584,1,3,1
CUST00310,32,Female,87,74982,1,0,1,176460,1,5,0
CUST00311,25,Male,37,41284,2,1,0,174061,0,4,0
CUST00312,30,Female,36,13395,2,1,1,126898,0,3,1
CUST00313,44,Male,21,96959,1,1,1,,0,3,0
CUST00314,41,Female,15,54653,1,1,1,,0,4,0
CUST00315,45,Male,35,3354,2,1,0,123901,0,,1
CUST00316,33,Female,21,26843,1,1,0,57464,1,2,1
CUST00317,34,Female,15,,1,,1,146055,0,3,1
CUST00318,51,Female,12,37206,1,1,0,60727,0,4,0
CUST00319,50,Female,63,60089,1,1,0,126776,0,4,0
CUST00320,52,Male,86,,1,1,0,33668,0,5,0
CUST00321,37,Female,43,106459,1,1,1,145610,0,4,0
CUST00322,52,Male,85,130069,,0,1,104656,0,4,0
CUST00323,44,Female,70,122703,2,1,1,116239,,4,0
CUST00324,32,Male,34,121398,2,1,0,155041,0,3,0
CUST00325,,Female,37,124948,1,1,1,179109,0,4,0
CUST00326,47,Female,11,196975,1,1,0,166527,1,1,1
CUST00327,54,Female,35,109014,1,,0,174979,0,5,0
CUST00328,37,Male,28,25842,,1,1,147385,0,2,1
CUST00329,39,Male,50,39250,2,0,0,107878,0,3,0
CUST00330,40,Male,48,98091,1,0,0,125158,1,4,0
CUST00331,31,Male,18,6845,,0,0,113691,1,2,1
CUST00332,30,Male,79,22475,2,1,1,,0,3,0
CUST00333,53,Female,27,,1,0,1,52595,0,3,1
CUST00334,26,Male,53,99820,1,1,0,118084,0,3,0
CUST00335,52,Female,5,193931,2,1,0,150013,1,3,1
CUST00336,37,Female,63,66339,1,0,1,148653,0,3,0
CUST00337,,Male,43,54637,2,1,0,153360,0,3,0
CUST00338,36,Male,2,19316,3,1,1,,0,1,1
CUST00339,42,Female,74,130706,1,1,1,,0,3,0
CUST00340,,,77,89286,2,0,1,60226,0,4,0
CUST00341,53,Female,56,31152,1,0,1,32412,0,5,0
CUST00342,37,,91,,1,1,0,,0,4,0
CUST00343,38,Male,51,51803,1,0,1,107142,0,,0
CUST00344,26,Male,35,,1,,1,96040,1,3,0
CUST00345,35,Female,24,30012,,1,1,87636,0,5,0
CUST00346,45,Male,28,14778,1,1,0,,1,3,1
CUST00347,45,Male,34,68888,2,1,1,54441,0,4,0
CUST00348,28,Male,61,,,0,0,157390,0,3,0
CUST00349,41,Male,95,103553,1,1,0,139339,0,,0
CUST00350,36,Male,41,35502,1,1,1,140013,0,3,0
CUST00351,25,Female,40,64682,1,1,1,,0,4,0
CUST00352,43,Male,16,73058,2,1,1,78213,0,3,0
CUST00353,26,Female,34,90829,1,1,,179621,0,4,0
CUST00354,44,Male,23,15909,4,1,0,85568,1,3,1
CUST00355,44,Female,,108322,1,1,,153041,0,,0
CUST00356,25,Male,30,12454,4,0,0,173800,1,1,1
CUST00357,,Male,44,55593,,0,1,153861,0,5,0
CUST00358,28,Male,36,64345,2,1,0,122804,,3,0
CUST00359,26,Female,23,157401,1,1,0,175265,0,,1
CUST00360,54,,18,42156,1,1,1,46663,0,5,0
CUST00361,,Female,43,32376,2,0,0,86041,0,4,0
CUST00362,32,,51,35563,1,1,,126136,0,5,0
CUST00363,34,Male,,93838,1,1,1,61913,,3,0
CUST00364,52,Female,81,,1,0,1,78799,1,5,0
CUST00365,46,Female,20,24712,1,0,1,98682,1,2,1
CUST00366,39,,13,107194,2,1,0,100184,1,5,0
CUST00367,52,Male,7,7469,3,0,0,100302,1,3,1
CUST00368,39,Male,89,71390,1,1,1,75936,1,3,0
CUST00369,53,Female,19,15723,1,1,0,141560,0,3,1
CUST00370,50,Male,14,188744,3,1,0,,0,3,1
CUST00371,32,Female,67,44498,1,1,1,166386,1,3,0
CUST00372,,Female,61,89986,1,0,1,109332,1,3,0
CUST00373,52,Male,27,68675,1,1,1,96319,0,4,0
CUST00374,43,Male,9,1744,3,1,1,93533,1,1,1
CUST00375,20,Female,73,103581,2,1,0,118854,1,4,0
CUST00376,39,Female,49,74038,2,0,1,73242,1,3,0
CUST00377,30,Male,19,18907,4,,0,146636,1,1,1
CUST00378,35,Female,24,107881,1,0,0,133900,0,4,0
CUST00379,29,Male,71,139029,1,1,0,167751,0,3,0
CUST00380,18,Male,5,175199,2,0,1,174757,0,1,1
CUST00381,51,Male,50,75049,2,0,,,0,3,0
CUST00382,25,Male,95,55856,1,1,1,150613,0,5,0
CUST00383,51,Female,46,61680,1,1,1,168267,0,3,0
CUST00384,41,Female,51,88035,2,1,1,166146,0,3,0
CUST00385,39,Female,36,132452,1,1,1,94483,0,4,0
CUST00386,45,Male,53,40735,2,1,1,101153,0,3,0
CUST00387,39,Female,26,12466,3,1,1,149500,1,2,1
CUST00388,46,Female,18,11256,3,1,0,150441,1,2,1
CUST00389,47,Male,84,47784,1,0,1,116696,0,3,0
CUST00390,38,Male,75,73449,2,1,0,166149,0,3,0
CUST00391,26,Male,94,36743,1,0,,45348,0,5,0
CUST00392,34,Male,,89520,1,1,1,38347,0,3,0
CUST00393,29,Male,12,183361,3,1,0,,1,3,1
CUST00394,,Female,26,55585,1,1,1,124758,0,4,0
CUST00395,33,Male,9,20649,1,,0,154656,0,3,1
CUST00396,29,Male,11,151649,4,1,0,58193,1,3,1
CUST00397,39,Male,59,20075,1,1,0,64614,0,4,0
CUST00398,45,Male,84,,2,0,0,171219,0,4,0
CUST00399,32,Female,89,26188,1,,0,66519,0,4,0
CUST00400,25,Female,89,103226,1,1,1,153388,0,3,0
CUST00401,19,,9,16855,3,0,0,,0,3,1
CUST00402,34,Female,80,30435,2,1,0,155614,0,3,0
CUST00403,48,,,46634,1,0,1,62370,0,5,0
CUST00404,34,Female,29,,1,1,0,174791,1,1,1
CUST00405,49,Male,78,88974,1,1,1,53323,0,,0
CUST00406,42,Female,19,55601,1,1,1,119418,1,3,0
CUST00407,,Male,,24783,,1,0,111716,1,2,1
CUST00408,53,Female,11,22561,1,0,0,175456,0,2,1
CUST00409,42,Male,66,124605,1,,1,,0,3,0
CUST00410,39,Female,42,59524,1,,0,113255,0,5,0
CUST00411,36,Male,1,5649,1,,1,156012,1,1,1
CUST00412,32,Male,48,122097,1,1,1,44538,0,4,0
CUST00413,,Female,69,93235,1,0,1,,1,3,0
CUST00414,44,Female,14,115767,1,0,,91853,0,5,0
CUST00415,46,Female,74,109735,1,1,0,43993,0,3,0
CUST00416,46,Female,15,116279,1,1,1,100591,0,3,0
CUST00417,34,Female,69,48961,1,0,1,73426,0,4,0
CUST00418,22,Male,25,9034,4,1,0,148987,1,2,1
CUST00419,28,Male,43,106107,1,0,1,86001,0,,0
CUST00420,50,Male,29,,1,1,0,40768,0,3,1
CUST00421,34,Male,84,108218,1,0,1,173462,0,3,0
CUST00422,33,Male,18,,1,1,1,121238,1,3,1
CUST00423,36,Male,25,156652,2,1,1,90689,1,3,1
CUST00424,25,Male,49,137144,1,1,0,111949,0,3,0
CUST00425,53,Male,26,97592,,1,1,88313,0,4,0
CUST00426,,Male,40,54916,1,1,0,,0,4,0
CUST00427,34,Female,87,54936,2,1,0,140989,0,4,0
CUST00428,35,Male,19,11026,4,1,1,71521,1,3,1
CUST00429,42,Male,69,83405,1,1,1,61858,0,3,0
CUST00430,29,Male,,82019,1,1,0,,0,4,0
CUST00431,46,Female,18,51837,1,1,1,130559,0,4,0
CUST00432,40,Male,59,23432,1,1,0,47844,,3,0
CUST00433,29,Male,44,28409,1,0,1,170122,0,3,0
CUST00434,36,Female,60,89601,2,1,0,112916,1,4,0
CUST00435,36,Female,35,92641,2,1,0,95039,0,4,0
CUST00436,36,Male,54,38478,1,0,1,75165,0,3,0
CUST00437,54,Male,71,104106,1,0,0,,0,3,0
CUST00438,30,Male,78,79563,1,1,1,141502,0,5,0
CUST00439,49,Male,15,32675,2,0,1,41684,1,4,0
CUST00440,19,Male,37,60014,1,1,1,153854,0,4,0
CUST00441,46,Male,87,72801,,0,1,142176,0,5,0
CUST00442,45,Female,81,80481,2,0,1,130318,0,3,0
CUST00443,28,Female,23,42380,1,1,1,137441,0,5,0
CUST00444,46,Male,31,24764,,0,0,164740,0,5,0
CUST00445,51,Male,85,63445,2,1,1,146366,1,5,0
CUST00446,34,Female,69,60022,2,1,1,63183,0,3,0
CUST00447,34,Male,91,96831,2,1,1,,0,4,0
CUST00448,48,Female,80,91526,1,1,1,51377,0,,0
CUST00449,42,Male,21,96534,1,1,1,100989,0,4,0
CUST00450,26,Male,14,86032,1,0,1,53514,0,3,0
CUST00451,30,Female,25,25002,3,1,0,162143,1,3,1
CUST00452,50,Female,94,118748,1,1,1,108014,0,3,0
CUST00453,44,Female,,55979,1,1,,179468,0,5,0
CUST00454,46,Female,65,41901,1,0,1,67772,0,5,0
CUST00455,32,Female,,38659,,0,0,144360,0,5,0
CUST00456,40,Female,77,92860,1,1,1,107861,0,,0
CUST00457,52,Male,41,41487,2,1,1,57582,0,5,0
CUST00458,31,Male,16,11849,1,1,0,165146,1,3,1
