Disease_Class,Geopolitical_Zone,Eco_Zone,Soil_Type,Rainfall_mm,Temperature_C,Relative_Humidity_Pct,Nitrogen_Level_ppm,Phosphorus_Level_ppm,Potassium_Level_ppm,Insect_Vector_Count,Leaf_Symptom_Severity
Healthy,South_South,Humid_Forest,Clay_Loam,1366.0,31.2,67.9,80.9,30.7,136.0,0,1
Nutrient_Deficiency,North_Central,Sudan_Savanna,Clay_Loam,823.7,31.1,40.0,23.8,13.7,43.1,0,4
Healthy,South_West,Humid_Forest,Sandy_Loam,1372.2,28.2,71.5,76.8,38.1,147.9,0,1
Bacterial_Wilt,South_West,Humid_Forest,Clay_Loam,1548.1,32.0,48.4,100.0,55.0,220.0,6,5
Fungal_Blight,South_South,Derived_Savanna,Alluvial,2147.7,29.4,88.5,90.0,45.0,180.0,10,5
Fungal_Blight,South_West,Derived_Savanna,Alluvial,1800.0,30.6,90.5,90.0,45.0,180.0,5,5
Fungal_Blight,South_West,Humid_Forest,Lateritic,1800.0,29.2,88.2,90.0,45.0,180.0,8,4
Bacterial_Wilt,South_South,Humid_Forest,Clay_Loam,1233.1,30.0,65.8,100.0,55.0,220.0,9,4
Fungal_Blight,South_South,Humid_Forest,Clay_Loam,1865.8,29.3,80.0,90.0,45.0,180.0,12,3
Nutrient_Deficiency,North_East,Sudan_Savanna,Lateritic,844.1,33.3,53.2,17.2,9.0,30.0,0,3
Viral_Mosaic,North_Central,Southern_Guinea_Savanna,Clay_Loam,1252.3,32.8,44.2,100.0,55.0,220.0,25,4
Fungal_Blight,South_East,Derived_Savanna,Lateritic,1866.4,29.2,92.6,90.0,45.0,180.0,14,4
Viral_Mosaic,South_West,Derived_Savanna,Clay_Loam,1017.2,25.3,56.1,100.0,55.0,220.0,23,3
Healthy,North_Central,Derived_Savanna,Clay_Loam,1379.2,31.8,55.1,67.4,42.5,171.4,1,1
Nutrient_Deficiency,North_Central,Sudan_Savanna,Clay_Loam,871.2,35.7,40.0,19.0,11.4,59.4,1,3
Fungal_Blight,South_West,Humid_Forest,Lateritic,2292.6,28.5,93.4,90.0,45.0,180.0,7,5
Healthy,South_South,Southern_Guinea_Savanna,Clay_Loam,1422.6,26.5,60.1,96.5,36.1,207.8,1,1
Nutrient_Deficiency,South_West,Southern_Guinea_Savanna,Sandy_Loam,698.4,34.0,53.4,10.9,9.3,55.5,1,2
Nutrient_Deficiency,North_Central,Derived_Savanna,Lateritic,815.8,32.7,69.4,18.9,8.9,37.0,1,3
Bacterial_Wilt,South_South,Sudan_Savanna,Alluvial,1205.4,30.1,77.6,100.0,55.0,220.0,6,4
Bacterial_Wilt,South_West,Sudan_Savanna,Clay_Loam,1306.4,31.6,84.7,100.0,55.0,220.0,3,4
Healthy,South_West,Southern_Guinea_Savanna,Sandy_Loam,1386.9,28.2,64.8,79.9,41.5,196.2,0,1
Viral_Mosaic,South_West,Southern_Guinea_Savanna,Sandy_Loam,750.2,27.9,61.4,100.0,55.0,220.0,17,3
Bacterial_Wilt,North_West,Derived_Savanna,Lateritic,1306.6,32.5,58.0,100.0,55.0,220.0,7,4
Healthy,North_West,Humid_Forest,Clay_Loam,1339.3,32.3,59.0,83.5,37.7,153.3,0,1
Nutrient_Deficiency,South_South,Southern_Guinea_Savanna,Alluvial,619.5,28.3,40.0,24.4,5.0,61.9,1,3
Nutrient_Deficiency,North_Central,Southern_Guinea_Savanna,Lateritic,1010.4,31.2,44.9,24.9,15.0,66.4,1,2
Nutrient_Deficiency,North_West,Southern_Guinea_Savanna,Clay_Loam,773.1,33.5,50.5,23.8,8.8,48.0,0,3
Viral_Mosaic,North_West,Southern_Guinea_Savanna,Alluvial,681.2,37.2,79.2,100.0,55.0,220.0,24,3
Nutrient_Deficiency,North_West,Derived_Savanna,Lateritic,893.0,31.3,58.5,20.7,13.1,43.3,1,3
Fungal_Blight,South_South,Humid_Forest,Clay_Loam,2527.3,29.8,81.5,90.0,45.0,180.0,10,3
Healthy,South_East,Southern_Guinea_Savanna,Alluvial,1582.7,29.9,63.1,73.9,42.5,131.8,0,1
Nutrient_Deficiency,North_West,Southern_Guinea_Savanna,Lateritic,922.1,30.8,67.6,10.5,7.8,47.0,1,3
Nutrient_Deficiency,North_East,Sudan_Savanna,Alluvial,720.3,32.3,52.8,17.1,14.3,68.2,0,3
Healthy,South_East,Derived_Savanna,Alluvial,1504.0,29.4,64.3,95.8,45.2,157.9,0,1
Viral_Mosaic,South_West,Derived_Savanna,Sandy_Loam,1032.9,24.8,76.8,100.0,55.0,220.0,27,3
Healthy,South_East,Humid_Forest,Sandy_Loam,1182.7,24.4,68.1,66.5,41.6,184.3,1,1
Nutrient_Deficiency,North_East,Southern_Guinea_Savanna,Alluvial,682.6,30.3,54.5,12.0,14.7,49.6,1,3
Viral_Mosaic,South_West,Derived_Savanna,Alluvial,1277.1,31.7,82.9,100.0,55.0,220.0,25,3
Viral_Mosaic,South_West,Derived_Savanna,Lateritic,1054.6,25.0,71.3,100.0,55.0,220.0,21,2
Fungal_Blight,South_South,Humid_Forest,Alluvial,2346.0,28.5,89.7,90.0,45.0,180.0,9,3
Fungal_Blight,South_South,Humid_Forest,Lateritic,2011.0,33.6,89.4,90.0,45.0,180.0,10,4
Healthy,South_South,Southern_Guinea_Savanna,Alluvial,1029.0,32.5,66.7,92.0,34.7,136.9,0,1
Bacterial_Wilt,South_East,Humid_Forest,Clay_Loam,1158.8,32.6,67.9,100.0,55.0,220.0,3,5
Viral_Mosaic,South_West,Southern_Guinea_Savanna,Sandy_Loam,1174.1,28.5,72.9,100.0,55.0,220.0,21,4
Viral_Mosaic,South_West,Southern_Guinea_Savanna,Alluvial,990.1,30.1,72.3,100.0,55.0,220.0,19,3
Healthy,South_East,Humid_Forest,Sandy_Loam,1027.0,28.3,70.0,84.5,30.0,211.1,0,1
Bacterial_Wilt,North_Central,Humid_Forest,Clay_Loam,1636.4,34.4,64.8,100.0,55.0,220.0,8,4
Fungal_Blight,South_South,Humid_Forest,Sandy_Loam,2510.7,26.8,92.9,90.0,45.0,180.0,3,4
Viral_Mosaic,South_West,Southern_Guinea_Savanna,Sandy_Loam,1979.1,35.5,65.5,100.0,55.0,220.0,29,3
Viral_Mosaic,South_West,Derived_Savanna,Alluvial,857.6,25.2,58.3,100.0,55.0,220.0,23,2
Healthy,South_West,Southern_Guinea_Savanna,Sandy_Loam,1436.6,28.0,58.5,76.9,38.6,150.7,0,1
Fungal_Blight,South_South,Humid_Forest,Alluvial,1948.5,28.2,80.8,90.0,45.0,180.0,9,5
Healthy,North_East,Southern_Guinea_Savanna,Alluvial,1198.9,28.7,72.9,78.3,39.1,178.4,1,1
Viral_Mosaic,South_West,Derived_Savanna,Sandy_Loam,1469.9,29.2,49.0,100.0,55.0,220.0,28,4
Viral_Mosaic,North_Central,Derived_Savanna,Lateritic,1298.3,38.0,69.0,100.0,55.0,220.0,23,4
Viral_Mosaic,North_West,Derived_Savanna,Alluvial,1235.0,27.5,75.2,100.0,55.0,220.0,32,3
Bacterial_Wilt,South_East,Humid_Forest,Sandy_Loam,1102.3,33.8,57.9,100.0,55.0,220.0,4,5
Viral_Mosaic,North_Central,Derived_Savanna,Lateritic,1224.9,36.6,62.0,100.0,55.0,220.0,19,3
Healthy,South_East,Southern_Guinea_Savanna,Sandy_Loam,1045.7,29.3,55.6,76.4,39.0,164.0,0,1
Viral_Mosaic,North_West,Southern_Guinea_Savanna,Lateritic,1718.1,28.7,85.0,100.0,55.0,220.0,30,3
Healthy,South_West,Southern_Guinea_Savanna,Sandy_Loam,1486.0,29.5,81.6,66.2,33.6,131.0,3,1
Fungal_Blight,South_East,Humid_Forest,Lateritic,2099.4,29.1,91.8,90.0,45.0,180.0,7,4
Nutrient_Deficiency,North_East,Sudan_Savanna,Lateritic,1043.9,30.3,44.2,18.1,11.9,49.4,1,3
Nutrient_Deficiency,North_East,Sudan_Savanna,Sandy_Loam,600.0,27.8,71.4,21.5,10.6,46.6,0,3
Bacterial_Wilt,North_Central,Derived_Savanna,Lateritic,1194.5,34.4,49.4,100.0,55.0,220.0,9,5
Viral_Mosaic,South_West,Derived_Savanna,Sandy_Loam,1382.5,31.6,74.0,100.0,55.0,220.0,24,3
Viral_Mosaic,South_West,Derived_Savanna,Clay_Loam,1456.8,25.8,88.6,100.0,55.0,220.0,22,2
Healthy,South_West,Derived_Savanna,Sandy_Loam,1284.2,24.2,63.5,95.1,33.4,157.3,0,1
Healthy,South_West,Southern_Guinea_Savanna,Alluvial,1053.4,31.5,68.7,90.1,39.9,135.2,0,1
Nutrient_Deficiency,North_Central,Sudan_Savanna,Alluvial,771.5,28.1,60.3,16.4,9.1,61.6,2,4
Healthy,South_East,Humid_Forest,Sandy_Loam,1151.1,31.4,44.9,100.0,44.3,165.6,1,1
Bacterial_Wilt,North_West,Derived_Savanna,Clay_Loam,1116.8,32.7,57.3,100.0,55.0,220.0,1,5
Nutrient_Deficiency,North_East,Southern_Guinea_Savanna,Lateritic,985.5,30.0,58.0,30.0,7.7,50.7,1,3
Healthy,South_East,Derived_Savanna,Sandy_Loam,1474.8,29.5,58.2,60.0,36.9,163.5,2,1
Bacterial_Wilt,South_South,Derived_Savanna,Clay_Loam,1185.5,32.0,71.0,100.0,55.0,220.0,4,5
Fungal_Blight,South_East,Humid_Forest,Alluvial,1991.8,33.4,86.0,90.0,45.0,180.0,17,4
Fungal_Blight,South_East,Humid_Forest,Clay_Loam,2109.7,30.6,95.0,90.0,45.0,180.0,10,4
Healthy,North_Central,Humid_Forest,Clay_Loam,1253.7,23.6,62.0,68.3,43.9,152.3,0,1
Fungal_Blight,South_East,Humid_Forest,Clay_Loam,2424.5,27.4,93.2,90.0,45.0,180.0,12,3
Healthy,North_East,Southern_Guinea_Savanna,Sandy_Loam,1218.6,29.9,63.0,60.0,43.7,150.3,0,1
Fungal_Blight,South_South,Derived_Savanna,Clay_Loam,2194.6,27.8,81.0,90.0,45.0,180.0,4,3
Bacterial_Wilt,North_East,Derived_Savanna,Alluvial,1278.6,33.1,61.9,100.0,55.0,220.0,12,4
Nutrient_Deficiency,North_West,Sudan_Savanna,Lateritic,915.8,33.0,59.8,10.0,9.5,57.6,0,3
Healthy,North_Central,Southern_Guinea_Savanna,Sandy_Loam,1462.6,31.9,59.6,99.6,31.2,186.4,0,1
Nutrient_Deficiency,North_West,Sudan_Savanna,Clay_Loam,1053.9,30.6,51.6,18.5,14.9,60.3,3,3
Bacterial_Wilt,North_Central,Derived_Savanna,Sandy_Loam,990.5,30.7,68.9,100.0,55.0,220.0,2,5
Nutrient_Deficiency,North_Central,Sudan_Savanna,Alluvial,739.6,32.3,60.5,23.5,5.2,49.9,0,3
Healthy,North_Central,Southern_Guinea_Savanna,Sandy_Loam,1148.2,22.0,70.6,76.6,30.0,213.4,0,1
Healthy,South_South,Humid_Forest,Sandy_Loam,1012.6,25.5,59.8,72.0,33.2,107.1,1,1
Fungal_Blight,South_West,Humid_Forest,Alluvial,1800.0,25.9,84.3,90.0,45.0,180.0,8,5
Nutrient_Deficiency,North_Central,Derived_Savanna,Alluvial,945.5,34.1,60.1,21.5,12.4,30.0,2,4
Nutrient_Deficiency,South_South,Derived_Savanna,Lateritic,1077.1,31.8,53.2,19.6,7.8,40.8,0,4
Nutrient_Deficiency,South_South,Southern_Guinea_Savanna,Sandy_Loam,898.9,36.6,58.0,26.0,5.2,70.0,2,3
Bacterial_Wilt,North_Central,Sudan_Savanna,Clay_Loam,1448.2,32.2,68.9,100.0,55.0,220.0,7,4
Bacterial_Wilt,North_West,Southern_Guinea_Savanna,Clay_Loam,1012.7,33.5,68.3,100.0,55.0,220.0,6,4
Nutrient_Deficiency,South_South,Derived_Savanna,Lateritic,1129.8,32.0,52.7,25.9,12.5,30.0,0,3
Fungal_Blight,South_East,Humid_Forest,Alluvial,1810.3,25.4,84.9,90.0,45.0,180.0,8,4
Viral_Mosaic,South_West,Derived_Savanna,Lateritic,600.0,29.9,54.1,100.0,55.0,220.0,28,4
Bacterial_Wilt,South_South,Southern_Guinea_Savanna,Clay_Loam,755.9,35.5,64.6,100.0,55.0,220.0,6,4
Bacterial_Wilt,South_South,Humid_Forest,Clay_Loam,756.2,31.6,68.7,100.0,55.0,220.0,8,5
Fungal_Blight,South_West,Humid_Forest,Alluvial,2056.4,27.9,90.2,90.0,45.0,180.0,17,3
Healthy,North_Central,Southern_Guinea_Savanna,Clay_Loam,1015.7,25.7,62.2,81.8,44.6,172.9,1,1
Healthy,North_Central,Derived_Savanna,Sandy_Loam,1780.5,26.4,71.1,66.5,37.2,172.6,1,1
Fungal_Blight,South_South,Humid_Forest,Sandy_Loam,1838.8,32.6,93.7,90.0,45.0,180.0,12,3
Fungal_Blight,South_South,Humid_Forest,Alluvial,2260.5,28.6,93.2,90.0,45.0,180.0,7,5
Nutrient_Deficiency,South_West,Southern_Guinea_Savanna,Lateritic,914.7,32.1,51.3,26.7,12.5,52.1,2,3
Bacterial_Wilt,South_East,Southern_Guinea_Savanna,Lateritic,1307.0,33.2,70.8,100.0,55.0,220.0,7,4
Healthy,North_East,Humid_Forest,Alluvial,1238.6,27.3,40.4,77.5,37.8,177.4,0,1
Viral_Mosaic,North_Central,Southern_Guinea_Savanna,Lateritic,938.3,30.5,64.1,100.0,55.0,220.0,27,2
Bacterial_Wilt,North_West,Southern_Guinea_Savanna,Lateritic,1530.9,33.9,61.1,100.0,55.0,220.0,7,4
Bacterial_Wilt,North_Central,Southern_Guinea_Savanna,Lateritic,1365.4,34.5,71.5,100.0,55.0,220.0,3,5
Fungal_Blight,South_East,Humid_Forest,Clay_Loam,2415.5,29.8,83.7,90.0,45.0,180.0,8,4
Nutrient_Deficiency,South_West,Derived_Savanna,Clay_Loam,829.2,28.4,48.4,22.7,12.8,46.1,2,2
Viral_Mosaic,North_West,Derived_Savanna,Alluvial,936.5,31.0,72.0,100.0,55.0,220.0,31,4
Viral_Mosaic,North_West,Southern_Guinea_Savanna,Clay_Loam,914.4,36.8,72.6,100.0,55.0,220.0,23,2
Healthy,North_East,Southern_Guinea_Savanna,Sandy_Loam,1254.2,29.6,64.5,81.1,46.2,125.3,0,1
Nutrient_Deficiency,North_West,Derived_Savanna,Lateritic,889.3,27.1,50.4,10.0,10.9,70.0,3,2
Viral_Mosaic,South_West,Derived_Savanna,Alluvial,1088.6,25.1,40.0,100.0,55.0,220.0,30,2
Fungal_Blight,South_South,Humid_Forest,Sandy_Loam,1889.8,30.7,94.7,90.0,45.0,180.0,11,5
Viral_Mosaic,South_West,Derived_Savanna,Clay_Loam,1270.7,25.8,82.8,100.0,55.0,220.0,26,3
Fungal_Blight,South_West,Derived_Savanna,Lateritic,2017.3,25.5,82.1,90.0,45.0,180.0,7,4
Nutrient_Deficiency,North_West,Derived_Savanna,Lateritic,600.0,26.9,74.6,26.7,15.0,45.6,2,3
Healthy,North_East,Southern_Guinea_Savanna,Sandy_Loam,1130.2,25.9,68.4,82.5,40.8,143.7,0,1
Healthy,South_West,Humid_Forest,Clay_Loam,948.1,26.1,53.1,95.5,43.7,191.8,0,1
Healthy,North_West,Southern_Guinea_Savanna,Clay_Loam,1325.4,27.3,63.7,86.8,46.4,198.1,0,1
Healthy,North_East,Humid_Forest,Alluvial,1161.5,31.3,45.4,68.5,41.2,103.9,1,1
Fungal_Blight,South_West,Humid_Forest,Clay_Loam,1950.8,25.7,86.6,90.0,45.0,180.0,5,4
Bacterial_Wilt,North_East,Southern_Guinea_Savanna,Clay_Loam,1018.3,34.1,63.1,100.0,55.0,220.0,7,4
Healthy,North_East,Humid_Forest,Alluvial,1348.3,26.4,68.1,71.8,30.0,163.2,1,1
Healthy,South_West,Southern_Guinea_Savanna,Alluvial,1269.3,27.8,53.2,82.9,42.7,152.7,0,1
Nutrient_Deficiency,South_South,Derived_Savanna,Sandy_Loam,600.0,33.0,66.3,11.1,9.5,37.2,0,4
Fungal_Blight,South_West,Humid_Forest,Sandy_Loam,1899.3,27.5,88.5,90.0,45.0,180.0,3,3
Healthy,North_West,Humid_Forest,Sandy_Loam,1105.1,27.3,62.8,62.7,31.9,175.0,0,1
Fungal_Blight,South_South,Derived_Savanna,Clay_Loam,2150.4,31.8,86.5,90.0,45.0,180.0,11,4
Healthy,North_West,Humid_Forest,Clay_Loam,1777.0,27.8,60.0,88.9,41.0,155.6,0,1
Bacterial_Wilt,South_West,Humid_Forest,Clay_Loam,1547.2,33.9,73.7,100.0,55.0,220.0,2,4
Nutrient_Deficiency,North_East,Southern_Guinea_Savanna,Clay_Loam,816.1,33.4,40.0,26.4,13.2,33.4,1,3
Healthy,North_West,Southern_Guinea_Savanna,Clay_Loam,1156.0,22.0,67.6,75.5,46.6,170.0,1,1
Healthy,North_East,Derived_Savanna,Sandy_Loam,1695.6,29.3,65.4,81.8,36.6,167.4,0,1
Fungal_Blight,South_West,Humid_Forest,Clay_Loam,2174.9,29.5,84.1,90.0,45.0,180.0,4,3
Healthy,North_West,Humid_Forest,Alluvial,1101.8,29.7,65.6,74.9,36.4,152.5,0,1
Nutrient_Deficiency,South_West,Southern_Guinea_Savanna,Lateritic,627.1,29.8,49.7,23.5,10.5,59.1,1,4
Nutrient_Deficiency,North_West,Sudan_Savanna,Lateritic,884.3,33.0,64.2,16.7,9.4,48.0,0,4
Viral_Mosaic,North_Central,Southern_Guinea_Savanna,Sandy_Loam,929.3,26.1,57.0,100.0,55.0,220.0,20,2
Bacterial_Wilt,North_East,Southern_Guinea_Savanna,Clay_Loam,650.5,31.2,66.6,100.0,55.0,220.0,1,4
Viral_Mosaic,South_West,Humid_Forest,Clay_Loam,843.2,30.3,66.7,100.0,55.0,220.0,25,3
Fungal_Blight,South_South,Derived_Savanna,Alluvial,1920.3,30.3,87.5,90.0,45.0,180.0,4,4
Healthy,South_West,Southern_Guinea_Savanna,Alluvial,1182.4,26.9,60.0,84.0,45.6,143.7,0,1
Healthy,North_Central,Derived_Savanna,Alluvial,1184.4,25.2,68.9,87.6,41.1,112.8,0,1
Healthy,South_East,Derived_Savanna,Alluvial,709.3,25.5,67.0,98.6,39.1,141.8,1,1
Bacterial_Wilt,North_Central,Derived_Savanna,Clay_Loam,1053.6,32.4,65.7,100.0,55.0,220.0,13,4
Nutrient_Deficiency,North_West,Derived_Savanna,Lateritic,971.4,32.6,61.8,25.4,9.3,54.0,0,3
Viral_Mosaic,South_West,Derived_Savanna,Clay_Loam,1394.6,32.9,90.0,100.0,55.0,220.0,26,4
Bacterial_Wilt,South_West,Southern_Guinea_Savanna,Lateritic,1122.3,30.0,63.3,100.0,55.0,220.0,10,5
Healthy,North_West,Derived_Savanna,Sandy_Loam,1346.0,28.3,61.3,85.8,50.0,173.1,0,1
Healthy,North_East,Southern_Guinea_Savanna,Sandy_Loam,1108.7,28.0,42.5,62.9,38.4,163.0,0,1
Bacterial_Wilt,South_West,Sudan_Savanna,Alluvial,1409.0,32.3,78.3,100.0,55.0,220.0,2,5
Bacterial_Wilt,South_South,Humid_Forest,Lateritic,914.1,32.3,89.7,100.0,55.0,220.0,0,4
Bacterial_Wilt,South_South,Sudan_Savanna,Lateritic,1237.8,34.0,64.0,100.0,55.0,220.0,3,4
Nutrient_Deficiency,North_East,Sudan_Savanna,Lateritic,739.1,30.3,50.7,20.3,9.8,52.8,2,3
Nutrient_Deficiency,North_East,Southern_Guinea_Savanna,Alluvial,741.1,35.8,46.8,29.0,10.3,60.3,0,2
Healthy,South_South,Humid_Forest,Alluvial,1579.0,26.4,69.6,84.8,30.0,180.0,0,1
Bacterial_Wilt,North_Central,Southern_Guinea_Savanna,Clay_Loam,1070.3,33.1,76.6,100.0,55.0,220.0,1,5
Fungal_Blight,South_East,Derived_Savanna,Clay_Loam,2250.2,28.6,90.4,90.0,45.0,180.0,6,3
Fungal_Blight,South_West,Derived_Savanna,Lateritic,1967.5,29.2,83.4,90.0,45.0,180.0,16,4
Viral_Mosaic,South_West,Derived_Savanna,Clay_Loam,718.5,32.9,67.1,100.0,55.0,220.0,21,3
Nutrient_Deficiency,North_West,Sudan_Savanna,Lateritic,659.2,26.1,52.1,27.3,12.0,63.5,1,3
Viral_Mosaic,South_West,Derived_Savanna,Clay_Loam,1548.8,29.1,54.4,100.0,55.0,220.0,24,3
Healthy,North_West,Southern_Guinea_Savanna,Sandy_Loam,1270.9,32.2,54.9,60.0,39.3,183.7,1,1
Bacterial_Wilt,North_Central,Southern_Guinea_Savanna,Alluvial,1075.1,32.7,64.8,100.0,55.0,220.0,5,4
Bacterial_Wilt,South_West,Southern_Guinea_Savanna,Sandy_Loam,600.0,33.0,49.7,100.0,55.0,220.0,5,5
Bacterial_Wilt,North_East,Derived_Savanna,Clay_Loam,895.9,30.8,68.3,100.0,55.0,220.0,5,5
Fungal_Blight,South_West,Humid_Forest,Sandy_Loam,1905.3,28.2,91.2,90.0,45.0,180.0,4,4
Fungal_Blight,South_West,Humid_Forest,Lateritic,1941.5,30.1,90.4,90.0,45.0,180.0,14,4
Fungal_Blight,South_West,Humid_Forest,Sandy_Loam,1800.0,30.2,94.2,90.0,45.0,180.0,9,5
Bacterial_Wilt,South_South,Southern_Guinea_Savanna,Clay_Loam,1055.2,33.2,71.3,100.0,55.0,220.0,2,5
Bacterial_Wilt,North_Central,Humid_Forest,Clay_Loam,1477.2,36.0,55.2,100.0,55.0,220.0,3,5
Bacterial_Wilt,North_Central,Derived_Savanna,Clay_Loam,1127.4,30.0,66.0,100.0,55.0,220.0,1,5
Viral_Mosaic,North_West,Derived_Savanna,Clay_Loam,1044.3,33.3,65.0,100.0,55.0,220.0,30,3
Fungal_Blight,South_West,Humid_Forest,Sandy_Loam,1848.0,24.9,82.0,90.0,45.0,180.0,8,4
Fungal_Blight,South_South,Derived_Savanna,Sandy_Loam,1879.0,27.1,89.1,90.0,45.0,180.0,10,4
Bacterial_Wilt,South_South,Derived_Savanna,Sandy_Loam,1955.9,33.3,62.1,100.0,55.0,220.0,7,5
Viral_Mosaic,North_Central,Derived_Savanna,Sandy_Loam,1622.5,32.4,75.8,100.0,55.0,220.0,28,3
Viral_Mosaic,South_West,Humid_Forest,Clay_Loam,1551.9,32.5,63.1,100.0,55.0,220.0,25,3
Bacterial_Wilt,South_East,Sudan_Savanna,Alluvial,1380.4,36.7,65.9,100.0,55.0,220.0,6,4
Healthy,North_East,Southern_Guinea_Savanna,Alluvial,1003.1,28.8,67.1,82.1,38.1,156.8,0,1
Healthy,North_West,Southern_Guinea_Savanna,Sandy_Loam,1076.7,27.2,74.5,79.3,41.7,128.2,0,1
Healthy,South_South,Humid_Forest,Sandy_Loam,1456.3,28.9,57.6,73.5,34.7,119.0,0,1
Nutrient_Deficiency,South_South,Southern_Guinea_Savanna,Lateritic,725.1,29.8,40.0,13.6,13.7,42.7,2,3
Fungal_Blight,South_South,Humid_Forest,Clay_Loam,1999.2,29.2,90.6,90.0,45.0,180.0,10,4
Nutrient_Deficiency,South_West,Southern_Guinea_Savanna,Lateritic,926.3,36.1,40.4,27.2,14.9,30.0,2,2
Healthy,North_Central,Humid_Forest,Alluvial,1369.2,31.0,57.2,99.0,36.4,160.8,1,1
Healthy,North_East,Humid_Forest,Sandy_Loam,954.7,31.5,67.4,74.3,34.5,157.8,1,1
Viral_Mosaic,North_Central,Derived_Savanna,Alluvial,849.1,32.5,70.2,100.0,55.0,220.0,27,3
Healthy,South_East,Humid_Forest,Alluvial,1267.6,24.5,43.6,72.8,30.0,172.8,0,1
Viral_Mosaic,North_West,Derived_Savanna,Alluvial,1501.5,29.2,70.6,100.0,55.0,220.0,24,2
Healthy,South_East,Humid_Forest,Sandy_Loam,1166.2,27.8,64.7,79.9,42.5,149.1,0,1
Viral_Mosaic,North_Central,Derived_Savanna,Lateritic,1366.7,32.7,74.5,100.0,55.0,220.0,26,4
Bacterial_Wilt,North_West,Southern_Guinea_Savanna,Alluvial,958.8,32.4,62.4,100.0,55.0,220.0,5,5
Healthy,North_East,Humid_Forest,Clay_Loam,1749.1,30.0,67.1,61.8,39.6,158.3,0,1
Bacterial_Wilt,South_South,Derived_Savanna,Clay_Loam,829.9,35.0,86.6,100.0,55.0,220.0,3,4
Fungal_Blight,South_East,Humid_Forest,Alluvial,1800.0,29.9,86.0,90.0,45.0,180.0,6,5
Bacterial_Wilt,South_East,Derived_Savanna,Sandy_Loam,897.6,35.0,77.1,100.0,55.0,220.0,2,5
