State,Latitude,Longitude,Temperature,Humidity,Soil_Moisture,Rainfall,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Disease_Class
Kaduna,11.731839,13.086967,36.64,56.03,30.47,145.79,65.18,60.92,45.55,Fungal Blight
Ogun,12.615966,9.074177,20.44,70.95,15.7,396.96,89.04,93.28,18.57,Healthy
Kebbi,6.331255,8.373501,30.47,45.49,10.8,180.84,95.99,12.29,33.13,Nutrient Deficiency
Enugu,5.102763,4.227186,29.88,90.71,39.92,181.63,62.53,73.74,96.11,Viral Mosaic
Kaduna,12.396154,10.469894,23.95,47.74,38.72,289.28,13.83,39.73,37.93,Fungal Blight
Kaduna,8.004644,12.981995,27.72,52.37,79.19,123.43,97.23,26.22,39.69,Bacterial Wilt
Kebbi,9.375849,12.524137,31.74,70.7,42.89,163.96,73.53,55.94,27.06,Healthy
Ogun,13.212592,10.199629,33.09,82.03,27.95,216.65,40.24,55.46,82.62,Viral Mosaic
Kaduna,5.099083,3.865705,20.01,74.06,72.39,191.46,23.24,22.33,34.81,Fungal Blight
Benue,,4.292566,36.86,52.77,44.37,259.95,22.91,28.17,39.72,Healthy
Kebbi,5.166949,3.567053,22.96,,51.94,289.86,25.1,46.73,47.29,Nutrient Deficiency
Benue,7.87922,5.961011,51.26,,16.7,276.67,14.1,46.79,49.04,Nutrient Deficiency
Ogun,11.734331,4.560107,24.74,94.19,36.8,311.67,91.19,38.58,47.02,Bacterial Wilt
Kaduna,8.40125,5.990552,20.68,84.55,76.1,,58.67,23.37,55.34,Bacterial Wilt
Kebbi,13.474641,7.428168,22.21,,51.27,,73.0,10.39,83.31,Healthy
Benue,9.531534,13.844302,37.75,89.71,34.12,354.32,84.53,97.32,83.74,Viral Mosaic
Kaduna,7.390459,10.019325,25.67,62.54,53.8,390.31,81.24,94.91,81.85,Bacterial Wilt
Kebbi,6.481002,12.602199,22.08,68.87,73.73,152.8,89.43,,19.1,Healthy
Ogun,7.654685,11.169042,21.93,66.24,29.18,,97.05,99.55,81.97,Viral Mosaic
Ogun,7.852799,4.293786,32.95,,45.36,249.43,49.52,70.63,,Nutrient Deficiency
Enugu,5.118423,11.463085,35.38,82.64,77.11,263.33,95.53,16.2,21.23,Viral Mosaic
Benue,7.826168,6.163637,24.63,68.97,22.07,313.8,75.1,20.59,95.31,Bacterial Wilt
Ogun,8.678147,10.34974,20.38,57.42,60.38,66.64,16.36,92.45,83.75,Viral Mosaic
Kebbi,11.00464,6.921063,24.02,54.2,53.01,338.59,71.36,66.7,59.72,Healthy
Benue,10.410565,,21.02,42.08,57.58,74.79,71.8,85.89,88.75,Healthy
Enugu,,6.030842,21.86,72.08,34.59,237.32,91.53,90.84,99.04,Nutrient Deficiency
Cross River,4.575273,6.21,27.77,52.65,31.97,381.07,43.56,50.31,64.96,Viral Mosaic
Enugu,6.459007,13.702731,24.14,48.15,57.89,230.49,62.64,14.37,65.16,Healthy
Kaduna,10.455159,3.283411,29.29,,25.09,109.64,11.1,26.95,77.9,Bacterial Wilt
Cross River,8.855904,11.011923,24.56,77.47,39.38,444.01,39.89,15.99,30.89,Healthy
Benue,4.547821,11.341253,36.93,81.37,23.17,405.71,15.6,26.99,25.04,Nutrient Deficiency
Ogun,11.740452,12.618354,36.31,67.7,10.58,358.53,56.97,46.95,78.36,Viral Mosaic
Kebbi,11.455286,14.206052,30.2,89.17,77.9,214.6,83.57,20.64,41.04,Viral Mosaic
Cross River,9.435772,14.219422,26.38,91.5,40.22,123.54,28.58,25.01,22.16,Healthy
Cross River,,3.750683,26.86,84.41,77.85,426.56,57.47,50.12,,Healthy
,11.398635,12.451152,27.41,74.96,19.82,262.94,28.36,40.62,42.28,Healthy
Enugu,9.753422,10.432564,51.62,56.7,51.12,390.94,20.86,,96.87,Bacterial Wilt
Kaduna,11.53764,10.444435,28.13,94.06,24.07,186.84,55.99,48.63,72.82,Viral Mosaic
Enugu,11.265723,4.476024,35.42,55.08,65.31,184.12,,68.0,,Viral Mosaic
Ogun,,10.477152,36.99,51.15,64.86,444.22,,94.35,97.2,Healthy
Cross River,9.162073,14.29855,26.05,64.32,17.88,258.73,12.82,19.71,91.28,Fungal Blight
Kebbi,5.762921,13.485914,30.09,43.13,73.84,106.28,19.6,18.93,56.08,Fungal Blight
Enugu,10.540417,8.050003,21.71,93.82,23.62,137.87,59.5,86.75,91.51,Bacterial Wilt
Cross River,10.084264,3.459402,,72.36,52.91,242.78,,55.58,46.39,Bacterial Wilt
Ogun,11.180279,7.166375,27.44,70.63,78.99,66.99,12.61,78.98,30.74,Healthy
Cross River,6.028929,12.503489,,76.07,71.77,235.01,61.6,29.39,30.94,Fungal Blight
Cross River,6.254777,11.06724,35.78,67.34,76.96,217.58,85.47,84.6,69.61,Healthy
Ogun,12.513686,8.282452,22.85,41.76,33.98,361.73,75.01,93.15,55.1,Viral Mosaic
Kebbi,11.2498,3.633668,28.2,73.68,17.39,,21.81,67.19,69.31,Viral Mosaic
Kebbi,12.674056,7.909289,30.9,79.39,23.18,443.02,63.32,19.53,71.75,Viral Mosaic
Benue,11.328438,8.393787,32.45,62.92,45.03,122.31,70.5,,,Fungal Blight
Benue,9.874398,13.678389,26.9,81.65,65.53,,13.35,81.32,14.86,Bacterial Wilt
Benue,10.387195,10.37249,35.64,52.49,20.51,,86.98,,57.94,Healthy
Kebbi,12.502151,6.584009,50.92,52.17,56.18,343.55,91.56,13.31,27.19,Bacterial Wilt
Benue,9.709261,9.04116,27.91,48.88,32.65,,86.54,81.91,66.93,Healthy
Benue,10.191522,3.759636,21.21,60.46,33.88,377.66,84.22,22.42,59.7,Fungal Blight
Cross River,5.90829,,28.36,86.59,56.33,,77.05,30.01,62.72,Nutrient Deficiency
Kebbi,8.765291,7.140689,34.77,85.54,42.69,243.9,67.01,61.94,37.22,Viral Mosaic
Kebbi,10.947574,8.495475,31.06,,66.84,384.01,71.08,33.85,,Bacterial Wilt
Cross River,6.938484,7.085766,34.98,72.4,20.91,,82.58,69.52,84.65,Viral Mosaic
Benue,6.320288,,28.89,79.64,65.3,445.68,69.62,,99.83,Bacterial Wilt
Kebbi,7.324441,10.61567,22.13,53.27,14.5,208.62,39.5,19.73,85.46,Healthy
Kaduna,6.673506,11.226207,,,23.58,446.37,43.84,69.04,60.17,Healthy
Enugu,6.434214,,25.46,93.47,55.93,112.37,90.74,93.16,27.41,Nutrient Deficiency
Benue,8.323658,6.630188,32.56,73.97,,151.42,11.54,24.5,71.33,Healthy
Cross River,12.670547,4.440389,34.22,93.98,27.69,85.61,,63.74,94.39,Bacterial Wilt
Benue,,,,58.58,32.9,158.7,95.93,40.77,29.07,Nutrient Deficiency
Kebbi,6.191283,3.457667,28.92,78.67,47.6,357.18,73.56,51.37,33.04,Healthy
Benue,,9.873347,27.58,52.24,24.81,391.17,99.45,35.83,23.41,Fungal Blight
Kaduna,10.765405,13.001503,27.39,54.37,66.78,361.56,71.88,41.87,76.3,Healthy
Kaduna,7.945189,13.24457,24.16,68.15,64.15,302.43,13.09,12.6,46.59,Healthy
Ogun,11.896479,8.163934,,57.58,,255.59,84.43,98.34,15.64,Healthy
Cross River,10.435597,8.281992,23.54,49.22,,333.48,35.62,66.23,88.75,Fungal Blight
Benue,11.666173,3.885146,21.0,54.46,64.24,206.33,50.15,55.06,,Healthy
Kaduna,6.947514,10.713798,23.57,41.97,33.61,386.52,38.09,44.53,39.8,Healthy
Cross River,10.73123,12.444483,20.17,78.74,54.32,320.88,34.17,58.54,40.96,Fungal Blight
Kebbi,6.876558,5.813533,31.29,67.07,13.51,329.12,48.83,44.21,36.12,Nutrient Deficiency
Kebbi,12.951616,,25.69,45.18,52.61,264.37,44.09,42.39,50.99,Healthy
Ogun,10.227369,12.646652,37.52,49.44,20.69,404.09,67.0,51.76,40.33,Nutrient Deficiency
Ogun,7.420606,13.086885,23.49,45.64,68.14,150.81,83.18,34.84,59.32,Bacterial Wilt
,6.925607,5.79657,26.22,73.69,34.88,202.46,36.74,26.2,79.62,Viral Mosaic
,6.218339,9.331562,26.44,45.18,29.71,361.06,29.23,60.09,70.7,Healthy
,10.751769,5.213671,20.15,81.49,,247.1,70.02,85.85,36.5,Healthy
Benue,6.468441,4.171606,35.11,41.13,,405.69,70.33,23.75,57.59,Fungal Blight
,9.857729,13.477886,20.58,53.72,37.76,188.56,91.1,12.95,85.61,Viral Mosaic
Ogun,6.881715,12.435836,36.92,88.99,,197.73,11.44,32.21,,Nutrient Deficiency
,10.457721,11.740401,36.06,79.52,29.94,405.49,86.77,98.17,17.05,Viral Mosaic
Kaduna,,3.560813,29.64,44.01,73.82,235.75,56.89,84.59,,Fungal Blight
Cross River,11.502227,12.702881,29.78,85.16,62.56,256.45,65.92,63.63,67.52,Fungal Blight
Kebbi,11.347662,8.037507,31.77,67.12,14.47,,18.22,93.63,29.03,Viral Mosaic
Kaduna,,6.937544,26.97,86.57,60.03,,48.94,50.08,77.07,Fungal Blight
Cross River,5.295465,9.284478,31.65,73.04,46.91,312.38,30.46,98.5,68.16,Bacterial Wilt
Kaduna,10.790539,,20.81,77.5,73.06,97.94,,36.67,93.1,Bacterial Wilt
Kebbi,7.815125,11.701435,20.97,94.64,31.91,401.71,55.37,31.63,25.21,Bacterial Wilt
Ogun,8.391116,9.698003,28.23,52.78,50.19,361.68,83.12,67.42,77.62,Fungal Blight
,4.780342,5.145786,29.89,74.32,45.05,126.3,,44.03,17.53,Healthy
Enugu,6.836188,5.16467,35.98,65.32,44.27,327.61,63.19,66.37,60.88,Healthy
Kebbi,4.803088,5.118859,21.88,42.17,41.93,291.05,58.55,37.45,59.67,Healthy
Ogun,12.412672,3.655527,34.81,40.8,,123.81,48.46,65.61,44.95,Healthy
Cross River,6.69057,9.759682,23.78,46.56,62.9,159.28,97.54,34.82,86.01,Nutrient Deficiency
Benue,9.516035,12.664004,27.09,75.7,41.59,213.59,60.42,14.59,10.39,Fungal Blight
Benue,4.850814,3.201229,25.7,71.19,77.1,329.7,32.86,92.09,56.82,Healthy
Ogun,10.501627,3.563553,,70.44,28.26,305.49,30.71,89.49,29.54,Bacterial Wilt
Kebbi,7.407246,9.586858,22.71,41.75,57.79,262.89,65.02,97.37,76.91,Bacterial Wilt
Enugu,12.581273,12.4242,29.06,65.81,75.85,357.36,57.05,74.49,13.88,Fungal Blight
Kaduna,12.493064,6.757497,34.43,90.85,56.44,353.18,10.69,71.44,84.84,Fungal Blight
Kaduna,7.427616,7.020566,27.95,61.87,70.99,297.14,84.71,60.31,85.43,Nutrient Deficiency
,12.608648,9.857985,28.83,74.37,67.92,364.8,73.37,21.33,84.96,Bacterial Wilt
Kaduna,13.465419,,35.28,82.89,35.21,183.71,69.56,27.03,23.73,Bacterial Wilt
Enugu,11.928741,3.305996,32.71,83.12,52.01,402.5,16.19,36.05,66.74,Healthy
Enugu,12.103842,11.455128,28.83,68.56,20.94,295.96,42.59,90.11,11.29,Viral Mosaic
Benue,6.741079,10.194974,24.64,87.19,47.49,378.95,94.18,25.57,,Viral Mosaic
Ogun,9.690322,9.678694,35.93,61.53,26.13,268.51,87.63,93.06,75.07,Healthy
Kaduna,5.105303,11.529367,30.39,88.88,62.06,137.38,,57.05,57.8,Viral Mosaic
Benue,5.354261,10.765155,23.98,53.21,46.96,,24.14,74.4,75.75,Fungal Blight
Enugu,13.490034,5.367643,24.84,55.41,38.79,198.44,50.42,,,Viral Mosaic
Cross River,7.439753,7.053532,34.46,42.92,28.82,329.0,42.02,34.21,57.58,Healthy
Kaduna,11.233655,4.450267,,83.76,79.91,240.32,71.4,,36.21,Healthy
,11.759985,,37.86,62.94,,384.45,96.98,33.95,97.54,Healthy
Ogun,12.222209,10.776251,22.35,52.6,13.05,321.23,42.67,36.69,,Healthy
Benue,13.478655,12.873901,34.33,52.75,25.21,323.82,15.6,27.78,75.99,Healthy
Cross River,6.673468,14.071425,27.11,89.58,77.98,136.86,,21.62,94.04,Bacterial Wilt
Kebbi,,10.225992,28.86,85.87,78.55,443.7,13.42,30.99,41.22,Healthy
Enugu,8.200724,5.117165,35.85,70.44,55.84,386.67,95.75,67.81,91.08,Healthy
Ogun,5.670726,4.214979,27.43,,71.61,365.6,69.81,50.98,39.27,Nutrient Deficiency
Benue,4.701833,,29.67,66.09,,182.09,94.75,59.84,75.95,Healthy
Ogun,7.743841,9.655699,20.89,61.54,78.04,264.25,27.97,21.01,76.28,Healthy
Kebbi,11.553644,10.110278,20.04,90.35,19.99,104.84,13.66,82.19,11.65,Fungal Blight
Enugu,9.595626,11.986814,24.41,46.91,17.08,265.39,53.94,80.57,42.5,Healthy
Enugu,7.315002,11.087688,32.25,63.01,17.85,108.36,50.56,,11.75,Fungal Blight
Kebbi,,12.59627,22.18,58.95,50.12,271.22,39.83,44.52,,Nutrient Deficiency
Kaduna,6.588164,,22.05,67.4,64.67,309.49,96.19,16.19,21.0,Healthy
Benue,4.629433,11.596487,27.4,65.17,35.67,206.08,84.03,81.29,58.85,Healthy
Kaduna,11.37918,12.784807,31.66,68.54,78.45,249.42,69.54,76.35,81.15,Healthy
Kebbi,10.113688,6.290553,,47.7,40.41,400.26,24.66,91.18,,Healthy
Kaduna,11.360724,10.365144,23.21,68.22,20.53,93.43,76.09,31.28,53.65,Viral Mosaic
Enugu,4.850442,6.612864,21.43,53.33,42.62,,75.43,51.07,64.67,Viral Mosaic
Benue,12.034077,14.016667,36.93,50.14,,118.3,48.26,26.6,24.42,Bacterial Wilt
Benue,10.075736,3.384371,,43.57,68.26,64.68,93.23,,80.07,Bacterial Wilt
Enugu,9.570558,9.667618,35.36,81.95,42.11,,25.03,57.0,36.94,Bacterial Wilt
Enugu,10.121526,4.914791,35.54,63.51,51.55,356.02,34.06,14.8,28.99,Healthy
Ogun,12.279899,11.190532,33.91,74.47,,212.05,15.69,74.34,60.25,Healthy
Kebbi,9.782429,5.022738,23.04,,55.21,399.01,81.59,58.9,46.93,Healthy
Cross River,9.728553,5.706908,34.79,77.36,79.02,259.88,65.96,84.61,92.83,Healthy
Benue,13.416112,8.685264,33.85,65.88,13.43,58.9,38.34,34.46,89.21,Fungal Blight
Cross River,11.310572,,30.74,61.33,72.06,336.69,24.74,91.3,53.5,Viral Mosaic
Benue,8.480644,5.434715,26.07,60.68,,94.09,13.61,99.88,42.33,Viral Mosaic
Ogun,10.866573,4.65876,24.73,75.2,27.65,365.75,25.01,92.74,39.3,Fungal Blight
Benue,8.003074,11.728234,22.19,67.21,76.84,117.24,50.8,80.01,34.08,Healthy
Benue,6.559879,8.757125,29.18,86.7,43.83,188.18,32.25,83.11,59.01,Healthy
Benue,9.871667,13.485529,30.53,88.11,,354.51,33.31,61.64,82.45,Bacterial Wilt
Enugu,12.853639,4.686067,26.47,49.38,22.7,431.69,88.8,27.11,,Fungal Blight
Benue,12.862256,10.428171,28.56,47.49,27.11,198.57,56.36,70.93,27.11,Fungal Blight
Ogun,7.577148,5.67811,26.54,74.67,68.3,381.76,75.63,74.15,52.79,Nutrient Deficiency
Benue,9.249097,4.802745,31.54,56.57,53.01,126.32,13.21,98.68,16.21,Nutrient Deficiency
Benue,6.404723,10.859438,36.22,41.02,73.93,372.87,42.86,58.72,73.12,Healthy
Enugu,13.46068,9.827373,22.95,88.88,26.24,313.0,53.13,34.42,56.65,Fungal Blight
Ogun,13.330061,11.680516,26.87,52.48,18.48,127.1,26.78,71.53,54.67,Healthy
Enugu,,6.55882,,91.11,10.43,171.0,20.82,98.14,37.04,Fungal Blight
Ogun,11.739727,8.151674,31.25,79.46,45.55,,88.33,25.95,91.42,Bacterial Wilt
Cross River,10.935901,7.662924,33.12,81.95,79.88,203.19,94.55,39.34,18.14,Nutrient Deficiency
Kaduna,9.838424,14.317029,36.77,51.08,58.65,131.46,17.09,58.77,88.28,Bacterial Wilt
Kaduna,4.980132,6.360863,25.02,52.88,31.59,307.6,41.41,25.32,43.9,Healthy
Cross River,8.592879,6.390398,37.1,68.67,71.38,447.8,96.25,12.0,89.26,Fungal Blight
Benue,10.573077,7.077304,21.14,49.47,64.72,54.8,17.48,40.33,75.59,Bacterial Wilt
,10.597785,9.492832,30.85,56.8,11.08,266.37,67.93,87.88,19.38,Fungal Blight
Cross River,7.858104,5.901712,21.03,57.68,67.18,279.47,97.5,13.91,84.84,Fungal Blight
Cross River,12.975228,13.525834,36.09,48.78,31.04,415.68,98.04,48.6,71.4,Fungal Blight
Cross River,6.006213,6.055384,29.54,51.29,20.48,252.4,52.41,,12.91,Healthy
Kaduna,9.003235,13.301881,32.05,83.37,25.84,267.48,24.65,95.79,22.03,Fungal Blight
Kebbi,10.717956,4.189963,34.97,49.2,42.8,238.66,,98.69,67.21,Fungal Blight
Benue,10.774222,10.550471,22.71,41.57,39.74,157.56,90.06,47.98,69.63,Bacterial Wilt
,10.337751,13.430333,20.69,74.61,30.22,72.41,92.05,95.53,77.2,Viral Mosaic
Kebbi,6.977594,4.940619,35.82,93.68,22.06,,64.71,13.19,,Healthy
Ogun,5.905859,14.13576,25.67,58.22,63.36,71.04,78.96,77.13,69.36,Healthy
Ogun,10.223463,8.208159,22.32,46.53,,270.2,76.59,67.85,78.96,Bacterial Wilt
Kaduna,9.893719,13.875724,28.43,71.37,64.45,,69.56,32.46,61.76,Bacterial Wilt
Kebbi,6.114204,10.783431,30.77,89.85,30.72,263.44,84.45,55.66,33.47,Viral Mosaic
Ogun,10.846252,6.468249,20.56,83.12,27.14,103.72,71.69,21.66,92.11,Fungal Blight
Cross River,,5.165479,24.95,74.24,25.24,423.05,58.06,88.44,11.64,Healthy
Cross River,10.509845,6.492953,20.59,57.33,19.57,407.81,31.33,42.21,42.99,Healthy
Enugu,12.036304,,27.57,69.8,48.59,126.0,76.95,66.34,75.6,Healthy
Cross River,6.027556,4.654482,36.11,45.02,52.38,187.38,52.61,24.29,48.44,Viral Mosaic
,4.672304,4.203595,37.69,77.34,59.39,295.4,36.53,28.55,12.24,Healthy
Ogun,11.511923,7.863851,31.47,79.88,57.61,88.27,82.18,99.28,15.94,Nutrient Deficiency
Ogun,9.987277,12.149151,22.91,93.08,30.46,191.83,72.7,77.78,68.38,Healthy
Ogun,10.796756,4.625911,36.31,54.32,33.12,150.44,94.36,,96.84,Healthy
,12.043395,4.498685,29.29,41.02,57.71,416.21,24.89,36.63,59.67,Bacterial Wilt
Cross River,11.725298,10.399433,22.77,70.01,34.46,391.0,,24.81,55.61,Healthy
Benue,13.148281,5.267604,36.59,,24.88,281.93,31.98,55.28,38.65,Viral Mosaic
Ogun,9.323416,4.122515,33.63,83.47,36.2,258.14,91.32,54.52,33.1,Healthy
Kebbi,8.896461,4.918759,33.17,50.66,29.05,422.29,18.95,25.75,11.89,Bacterial Wilt
Ogun,8.116985,13.622911,32.77,54.4,16.18,422.97,69.05,75.99,34.57,Bacterial Wilt
Benue,5.883219,12.446919,23.61,68.19,68.11,437.73,81.2,42.56,50.42,Healthy
Benue,9.653465,7.071742,23.8,58.18,69.72,100.15,41.94,26.77,27.82,Fungal Blight
Kebbi,6.993113,10.541939,32.39,87.33,25.38,114.22,95.87,39.88,17.86,Healthy
Kebbi,12.791768,9.17867,23.96,66.06,14.53,320.69,86.57,60.73,74.6,Fungal Blight
Enugu,9.748717,10.786929,27.9,83.98,,266.57,36.52,75.38,90.52,Nutrient Deficiency
Cross River,,10.850718,34.08,71.93,24.81,57.39,10.68,53.37,94.31,Bacterial Wilt
Kaduna,7.694322,,34.11,82.52,37.54,74.79,36.7,57.3,65.62,Healthy
Enugu,4.967904,6.060166,28.16,58.3,14.49,405.23,35.32,22.51,,Fungal Blight
,4.785694,3.448574,34.26,85.73,25.84,397.55,90.1,92.32,,Fungal Blight
Kebbi,8.310016,8.239018,35.1,55.1,65.5,192.91,97.04,,19.91,Fungal Blight
Kaduna,5.261088,13.2462,31.79,70.04,66.31,406.42,16.34,71.51,70.28,Viral Mosaic
Cross River,9.961623,9.549218,24.11,51.77,24.5,287.47,52.42,11.59,80.14,Healthy
Cross River,12.428757,12.572497,24.93,66.15,33.51,372.36,59.35,58.34,,Healthy
Benue,12.446233,14.40368,25.67,57.5,19.4,220.97,18.36,66.63,,Bacterial Wilt
Kebbi,10.431409,4.881586,22.1,54.67,15.19,95.36,43.97,99.52,76.43,Healthy
Cross River,6.401086,10.955443,24.92,93.18,79.45,223.49,38.54,99.65,72.39,Healthy
Cross River,12.266971,10.754376,23.77,48.8,55.89,232.92,58.25,87.19,33.56,Healthy
Ogun,12.474841,14.269488,28.2,83.3,47.95,270.38,69.51,15.74,93.23,Fungal Blight
Benue,6.269882,,36.35,94.13,63.58,92.23,73.31,95.79,26.16,Nutrient Deficiency
Enugu,11.136835,10.896804,21.88,41.09,,446.56,22.31,,91.44,Nutrient Deficiency
Ogun,7.078676,5.80157,32.96,78.45,66.47,147.65,83.17,82.08,38.14,Viral Mosaic
Ogun,11.723763,12.183392,32.37,53.91,11.16,129.42,,46.65,21.71,Fungal Blight
Enugu,,4.230835,,42.23,23.08,260.72,90.02,38.77,84.4,Fungal Blight
Kebbi,4.770234,11.978042,,62.16,55.84,264.88,50.44,51.69,10.22,Healthy
Ogun,12.576293,13.467255,30.23,91.44,36.3,,90.45,23.22,84.89,Healthy
Cross River,10.103675,7.402584,26.55,40.65,78.77,358.76,,,33.61,Viral Mosaic
Kaduna,13.260444,10.252306,33.62,72.33,56.58,256.66,49.46,87.19,89.62,Bacterial Wilt
Benue,8.685086,7.946641,24.63,67.58,76.96,293.88,44.3,13.42,,Healthy
Ogun,12.126491,8.034298,32.48,88.04,24.1,339.5,93.95,23.58,69.96,Nutrient Deficiency
Enugu,5.061547,6.569265,20.71,44.62,70.48,60.01,74.36,21.26,42.88,Healthy
Kaduna,7.517511,11.764491,35.11,,32.49,278.26,93.54,46.28,15.35,Healthy
Enugu,5.103149,13.76603,28.07,77.41,79.27,403.68,81.73,99.73,84.71,Bacterial Wilt
Kebbi,13.278088,13.818635,31.46,,21.04,56.96,64.84,25.6,25.38,Fungal Blight
Enugu,11.852765,5.009985,23.98,91.83,46.14,212.07,20.43,23.09,43.5,Healthy
Benue,12.172927,13.059552,32.19,85.27,65.5,,36.23,,64.03,Fungal Blight
Enugu,12.941687,11.480462,33.9,42.31,40.28,,97.2,89.38,53.4,Viral Mosaic
,5.265931,5.90763,28.52,65.91,42.77,233.49,38.75,12.9,27.88,Viral Mosaic
Enugu,7.970378,3.773773,31.12,113.2,79.04,442.62,18.39,77.65,22.66,Healthy
Kebbi,5.139314,6.081969,28.21,57.06,39.77,129.73,73.68,68.99,21.09,Healthy
Kebbi,,13.490395,36.09,64.82,52.29,76.1,,79.1,87.67,Fungal Blight
Benue,6.564292,10.281555,28.96,61.13,13.82,393.77,35.69,54.51,12.84,Healthy
Kebbi,8.721965,11.292129,56.69,63.78,68.95,397.39,36.79,,97.93,Fungal Blight
Benue,6.91706,5.957252,34.42,,55.37,238.83,52.2,13.95,27.87,Nutrient Deficiency
Cross River,5.408803,11.272964,27.39,44.87,38.28,255.68,11.96,31.09,19.93,Healthy
Kebbi,6.00742,3.323397,24.14,90.72,11.13,384.32,81.04,45.69,61.93,Healthy
Kebbi,5.82548,7.316195,27.31,66.41,51.42,,38.54,50.48,17.2,Healthy
Benue,13.257691,10.207664,34.87,74.31,10.89,156.06,86.84,92.92,64.22,Healthy
Ogun,11.333633,4.680111,24.1,85.66,10.08,56.76,82.24,60.4,86.56,Nutrient Deficiency
Benue,13.209853,12.464541,29.44,59.83,53.13,241.88,69.53,14.06,14.31,Healthy
Benue,,5.70286,34.51,63.67,23.23,393.56,39.24,46.71,81.99,Fungal Blight
Kebbi,7.005316,10.501233,26.36,62.52,23.43,408.33,,47.48,45.5,Fungal Blight
,11.684639,7.659767,31.56,60.61,55.73,432.49,50.03,96.89,24.35,Fungal Blight
Ogun,7.436285,9.854501,24.42,90.9,13.76,401.83,40.5,63.93,25.85,Fungal Blight
Cross River,7.19445,4.235681,21.97,85.59,31.94,282.02,86.33,,92.69,Nutrient Deficiency
Enugu,6.592554,3.194497,34.3,45.99,20.46,227.84,53.52,74.19,19.95,Fungal Blight
Kebbi,5.667111,13.459991,21.78,45.95,50.61,359.94,84.95,79.3,88.01,Viral Mosaic
Enugu,6.808168,6.100745,24.88,63.53,56.32,345.93,19.47,67.15,58.98,Healthy
