customer_id,age,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,tech_support,online_security,paperless_billing,num_support_tickets,satisfaction_score,churn
104,31,48,94.69,2564.0,Month-to-month,Credit card,Fiber optic,Yes,Yes,No,1,5,0
105,48,61,91.55,2122.78,Month-to-month,Mailed check,Fiber optic,No,Yes,No,0,3,1
106,65,26,72.12,343.24,Month-to-month,Electronic check,DSL,No,No,Yes,2,5,1
107,32,36,102.24,7775.11,One year,Mailed check,DSL,Yes,No,Yes,1,3,0
108,25,1,63.09,1843.89,Two year,Bank transfer,DSL,No,Yes,Yes,2,1,1
109,31,8,109.67,5898.84,Month-to-month,Credit card,Fiber optic,No,Yes,Yes,1,2,1
110,40,52,27.13,6124.51,One year,Mailed check,Fiber optic,No,No,No,2,2,0
111,77,47,115.47,7441.13,One year,Mailed check,No,No,Yes,Yes,1,1,0
112,74,56,85.47,341.34,Month-to-month,Credit card,Fiber optic,No,No,No,1,1,1
113,79,14,58.01,6989.18,Month-to-month,Credit card,No,Yes,Yes,Yes,3,3,1
114,57,28,39.72,4265.09,Month-to-month,Credit card,Fiber optic,Yes,No,Yes,3,1,1
115,38,2,67.92,5097.1,Month-to-month,Bank transfer,DSL,Yes,Yes,Yes,2,3,1
116,33,26,39.46,5191.32,Two year,Credit card,DSL,No,No,Yes,2,5,0
117,62,14,36.63,6576.4,Month-to-month,Electronic check,Fiber optic,No,No,Yes,1,2,1
118,35,59,81.74,2733.92,Month-to-month,Mailed check,DSL,No,No,No,4,2,1
119,64,56,72.31,5891.1,Month-to-month,Credit card,DSL,Yes,Yes,Yes,2,2,0
120,70,7,87.01,4275.77,Two year,Credit card,Fiber optic,No,No,Yes,1,5,0
121,41,3,112.96,6367.81,Month-to-month,Bank transfer,No,Yes,No,No,5,5,1
122,43,23,73.23,7925.31,Month-to-month,Bank transfer,DSL,Yes,Yes,No,6,4,1
123,42,18,78.09,1685.14,Month-to-month,Mailed check,Fiber optic,No,Yes,Yes,4,3,1
124,77,38,28.96,7957.72,Month-to-month,Electronic check,No,No,No,No,3,3,1
125,77,15,91.76,809.52,Month-to-month,Mailed check,Fiber optic,No,Yes,Yes,0,4,1
126,77,64,59.99,118.31,One year,Credit card,DSL,No,No,No,1,2,0
127,62,28,117.67,448.88,Month-to-month,Electronic check,DSL,Yes,No,No,0,3,1
128,58,39,102.32,2800.08,Month-to-month,Electronic check,Fiber optic,Yes,No,No,2,3,0
129,46,57,72.25,5099.96,Two year,Electronic check,Fiber optic,No,No,No,0,2,0
130,32,17,32.32,645.33,Month-to-month,Electronic check,No,No,No,Yes,2,1,1
131,62,44,105.94,144.76,Month-to-month,Mailed check,Fiber optic,No,Yes,No,2,1,1
132,18,25,99.98,7503.02,Month-to-month,Bank transfer,DSL,No,No,Yes,3,4,1
133,42,17,38.46,6593.22,Two year,Bank transfer,DSL,No,Yes,Yes,4,5,0
134,24,13,49.53,6492.55,Month-to-month,Credit card,Fiber optic,Yes,No,Yes,2,3,1
135,26,25,99.34,7086.95,Two year,Bank transfer,DSL,Yes,No,No,2,3,0
136,41,68,38.52,5630.27,One year,Bank transfer,DSL,No,Yes,No,3,4,0
137,18,10,111.78,924.79,Month-to-month,Bank transfer,Fiber optic,Yes,No,Yes,1,4,1
138,61,67,62.45,3252.89,Two year,Bank transfer,DSL,No,Yes,No,2,3,0
139,25,18,28.7,5812.88,Month-to-month,Credit card,DSL,No,No,No,2,2,1
140,41,34,101.57,2314.64,Month-to-month,Mailed check,Fiber optic,No,No,Yes,3,2,1
141,28,8,57.35,5530.51,Two year,Electronic check,DSL,Yes,No,Yes,3,5,0
142,68,40,72.65,293.54,One year,Bank transfer,DSL,Yes,Yes,No,3,3,0
143,34,42,31.23,2518.48,One year,Mailed check,Fiber optic,No,No,Yes,2,3,0
144,25,41,20.26,4438.13,Month-to-month,Bank transfer,No,No,No,Yes,3,3,1
145,52,6,83.8,5093.51,Month-to-month,Bank transfer,DSL,No,Yes,No,1,3,1
146,52,52,71.52,4658.62,One year,Electronic check,Fiber optic,No,No,No,2,4,0
147,50,26,79.35,5612.27,Month-to-month,Electronic check,Fiber optic,No,Yes,No,2,1,1
148,76,64,99.37,148.1,Month-to-month,Electronic check,Fiber optic,No,No,No,0,3,1
149,22,59,84.66,897.44,Month-to-month,Bank transfer,No,No,No,Yes,3,1,1
150,59,56,37.48,6964.66,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,3,2,1
151,56,59,56.08,5485.81,Two year,Bank transfer,No,No,No,No,4,5,0
152,75,70,110.59,992.16,Month-to-month,Electronic check,DSL,Yes,No,Yes,0,2,0
153,58,33,96.99,6752.39,Two year,Credit card,DSL,No,No,No,0,3,0
154,45,53,75.66,2013.63,Month-to-month,Mailed check,No,No,Yes,Yes,2,2,1
155,24,22,45.56,3878.25,One year,Credit card,Fiber optic,No,Yes,Yes,1,4,0
156,26,21,50.21,1247.05,Month-to-month,Bank transfer,DSL,No,No,Yes,4,1,1
157,25,70,93.2,5709.87,Month-to-month,Bank transfer,Fiber optic,No,No,No,2,3,0
158,29,70,105.12,5368.15,Month-to-month,Credit card,No,No,No,Yes,3,4,0
159,51,4,87.14,1767.79,Month-to-month,Bank transfer,No,No,Yes,Yes,0,1,1
160,50,62,100.95,6920.87,Month-to-month,Mailed check,DSL,No,No,Yes,2,4,0
161,65,62,96.67,3270.32,Two year,Bank transfer,No,No,Yes,No,1,2,0
162,72,24,34.97,2410.87,One year,Mailed check,DSL,No,No,Yes,1,3,0
163,40,55,62.39,1303.4,Month-to-month,Credit card,DSL,No,No,Yes,0,2,1
164,79,9,35.3,2202.73,Month-to-month,Credit card,Fiber optic,Yes,Yes,Yes,1,5,0
165,41,3,43.52,274.01,Month-to-month,Bank transfer,DSL,No,Yes,No,1,3,1
166,54,31,106.93,4707.73,One year,Mailed check,DSL,Yes,No,Yes,1,2,0
167,52,40,67.29,6753.62,One year,Bank transfer,Fiber optic,No,Yes,Yes,0,3,0
168,61,36,73.54,4436.95,Two year,Electronic check,DSL,Yes,No,Yes,3,1,0
169,57,24,37.84,1832.26,Month-to-month,Electronic check,DSL,No,Yes,Yes,1,3,1
170,39,6,51.23,365.99,Month-to-month,Electronic check,DSL,No,No,No,0,3,1
171,44,66,43.02,1795.56,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,1,1,1
172,52,4,40.62,3387.36,One year,Bank transfer,Fiber optic,Yes,No,No,2,2,0
173,18,6,83.8,6100.93,One year,Electronic check,Fiber optic,Yes,Yes,No,3,3,0
174,52,51,45.69,1583.96,One year,Mailed check,Fiber optic,No,Yes,Yes,2,4,0
175,54,62,83.2,5786.35,One year,Credit card,Fiber optic,No,No,No,3,3,0
176,64,57,25.85,6948.77,Month-to-month,Credit card,No,Yes,No,No,1,2,0
177,31,66,34.18,3686.18,One year,Electronic check,DSL,Yes,Yes,No,1,1,0
178,20,8,47.45,6589.31,Month-to-month,Electronic check,DSL,No,Yes,Yes,2,2,1
179,18,26,79.7,4481.79,One year,Electronic check,No,Yes,No,Yes,1,5,0
180,22,51,87.58,5133.02,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,2,3,1
181,43,45,64.27,4257.6,Month-to-month,Credit card,No,Yes,Yes,No,1,3,0
182,72,44,64.58,3759.06,Two year,Electronic check,Fiber optic,No,Yes,Yes,2,1,0
183,31,5,92.45,1953.76,Two year,Mailed check,Fiber optic,Yes,No,Yes,1,3,0
184,56,70,21.58,2495.23,Two year,Electronic check,Fiber optic,No,No,Yes,4,4,0
185,44,26,54.11,2390.76,Month-to-month,Credit card,Fiber optic,Yes,No,Yes,2,4,0
186,26,68,101.87,4549.98,One year,Electronic check,Fiber optic,No,No,Yes,1,2,0
187,32,19,80.32,1047.63,Month-to-month,Credit card,Fiber optic,No,Yes,Yes,3,1,1
188,32,20,53.72,7342.65,Two year,Electronic check,Fiber optic,No,Yes,Yes,2,5,0
189,43,12,110.55,5793.18,Month-to-month,Mailed check,No,No,Yes,No,1,2,1
190,59,47,97.26,3271.42,Two year,Electronic check,DSL,No,No,Yes,3,1,0
191,77,1,46.49,1353.13,Two year,Mailed check,DSL,No,No,No,3,1,0
192,30,14,84.53,7067.74,One year,Mailed check,Fiber optic,No,Yes,Yes,0,2,0
193,68,64,79.58,6607.85,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,1,2,0
194,49,38,60.12,5801.6,Month-to-month,Mailed check,No,No,Yes,No,0,3,1
195,56,37,56.7,2245.22,Two year,Bank transfer,DSL,No,No,No,0,5,0
196,66,11,54.36,3279.33,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,3,4,1
197,69,3,81.72,911.71,Two year,Electronic check,Fiber optic,Yes,Yes,No,1,3,0
198,78,33,64.24,1593.41,Month-to-month,Mailed check,Fiber optic,Yes,Yes,No,3,1,1
199,49,6,103.19,6285.83,Month-to-month,Mailed check,No,No,No,No,0,5,1
200,21,50,86.96,5748.81,Two year,Electronic check,DSL,Yes,No,Yes,2,5,0
201,47,10,26.99,4788.54,One year,Bank transfer,Fiber optic,Yes,No,Yes,4,2,0
202,54,5,84.02,7176.24,One year,Mailed check,No,Yes,No,No,0,5,0
203,40,23,47.11,4707.81,One year,Mailed check,No,No,No,No,0,5,0
204,56,10,79.28,3789.05,Month-to-month,Credit card,Fiber optic,No,Yes,Yes,1,1,1
205,62,44,88.01,2788.93,One year,Bank transfer,Fiber optic,No,Yes,No,2,3,0
206,32,2,43.08,7529.54,Month-to-month,Bank transfer,DSL,Yes,No,Yes,2,5,1
207,60,13,65.69,753.45,Two year,Electronic check,Fiber optic,Yes,Yes,Yes,2,2,0
208,46,40,39.03,7454.01,Two year,Bank transfer,No,No,No,Yes,1,3,0
209,53,2,25.23,6631.05,Month-to-month,Electronic check,Fiber optic,No,Yes,No,3,2,1
210,30,65,57.85,1126.45,One year,Credit card,DSL,No,Yes,Yes,2,5,0
211,49,63,56.29,4563.38,One year,Bank transfer,DSL,Yes,Yes,No,3,3,0
212,24,17,119.55,6945.73,Month-to-month,Mailed check,DSL,No,No,Yes,1,5,1
213,76,9,64.64,4617.29,Two year,Credit card,DSL,No,Yes,No,0,1,0
214,68,15,53.36,7266.88,Month-to-month,Electronic check,DSL,Yes,No,No,3,3,1
215,39,24,78.05,7549.57,Month-to-month,Credit card,Fiber optic,Yes,No,No,0,2,1
216,45,38,28.88,3436.84,Month-to-month,Electronic check,DSL,No,No,No,1,1,1
217,19,35,116.17,3080.78,Month-to-month,Credit card,DSL,No,No,Yes,1,4,1
218,59,49,83.5,7496.94,One year,Electronic check,Fiber optic,No,Yes,Yes,0,2,0
219,62,69,95.48,5433.61,One year,Bank transfer,DSL,No,No,Yes,2,5,0
220,79,62,37.05,1016.58,One year,Mailed check,DSL,No,Yes,Yes,1,2,0
221,74,60,60.95,434.1,One year,Electronic check,DSL,Yes,No,No,2,4,0
222,70,50,62.27,4560.57,Month-to-month,Credit card,DSL,No,Yes,Yes,3,2,1
223,23,9,102.18,7448.35,Month-to-month,Electronic check,Fiber optic,No,No,Yes,5,1,1
224,45,34,20.12,6769.56,Month-to-month,Electronic check,DSL,Yes,No,Yes,2,2,1
225,45,35,50.09,5439.2,Month-to-month,Electronic check,Fiber optic,No,No,Yes,3,3,1
226,61,1,118.12,1199.02,One year,Credit card,No,Yes,No,Yes,2,4,0
227,61,40,67.49,2108.43,Month-to-month,Mailed check,Fiber optic,No,No,No,3,2,1
228,37,64,58.25,7016.54,Month-to-month,Bank transfer,Fiber optic,No,Yes,Yes,1,4,0
229,47,22,31.98,1544.18,Month-to-month,Mailed check,No,No,No,Yes,2,1,1
230,79,60,117.42,2299.67,Two year,Electronic check,Fiber optic,No,Yes,No,0,3,0
231,28,64,22.0,1123.85,Two year,Credit card,DSL,Yes,No,No,1,5,0
232,75,11,93.72,5441.26,One year,Mailed check,Fiber optic,No,No,Yes,0,2,0
233,72,14,96.86,7557.46,Two year,Electronic check,No,No,No,No,3,1,1
234,45,60,44.37,2224.85,One year,Bank transfer,DSL,No,No,Yes,1,4,0
235,42,30,87.16,3855.71,One year,Bank transfer,DSL,No,No,Yes,2,4,0
236,56,35,29.29,5111.28,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,1,1,1
237,79,37,45.7,7995.78,One year,Electronic check,No,Yes,Yes,Yes,0,2,0
238,50,5,98.79,927.98,One year,Credit card,DSL,No,No,No,2,5,0
239,18,26,106.47,4038.71,One year,Mailed check,Fiber optic,Yes,No,Yes,2,2,0
240,74,62,80.85,3142.45,One year,Bank transfer,DSL,Yes,No,Yes,2,3,0
241,44,4,70.68,6939.98,Month-to-month,Electronic check,Fiber optic,No,No,No,1,2,1
242,79,42,35.93,3860.15,One year,Electronic check,DSL,No,Yes,Yes,3,3,0
243,74,18,26.31,976.72,Two year,Mailed check,DSL,Yes,Yes,Yes,4,4,0
244,69,40,31.76,5111.95,Month-to-month,Bank transfer,No,No,No,No,2,3,1
245,30,39,42.74,6189.17,One year,Electronic check,Fiber optic,Yes,Yes,Yes,3,5,0
246,58,14,54.17,122.76,Month-to-month,Mailed check,Fiber optic,No,Yes,No,2,1,1
247,20,32,58.09,6885.76,One year,Credit card,Fiber optic,No,No,Yes,6,3,0
248,56,51,54.63,1569.58,One year,Credit card,DSL,No,No,No,5,2,0
249,23,38,43.91,4461.35,Month-to-month,Credit card,Fiber optic,Yes,No,Yes,1,3,1
250,25,23,70.97,3384.8,One year,Bank transfer,DSL,No,Yes,No,1,4,0
251,44,63,102.53,5785.27,Month-to-month,Mailed check,Fiber optic,No,No,Yes,3,3,0
252,26,15,47.97,3032.18,One year,Mailed check,DSL,No,Yes,No,3,5,0
253,79,25,114.24,6971.13,Month-to-month,Electronic check,Fiber optic,No,No,Yes,6,3,1
254,54,17,107.33,5870.92,One year,Electronic check,No,No,Yes,Yes,2,5,0
255,50,66,36.18,5216.93,Month-to-month,Electronic check,No,Yes,No,Yes,1,2,0
256,68,53,98.63,6390.3,One year,Mailed check,Fiber optic,No,No,No,0,4,0
257,59,51,77.46,6056.78,Month-to-month,Electronic check,DSL,No,No,No,2,1,1
258,61,39,76.66,383.92,Two year,Mailed check,Fiber optic,Yes,No,Yes,3,2,0
259,41,51,59.1,3218.4,Two year,Mailed check,No,No,No,Yes,2,2,0
260,32,70,70.12,7453.38,Two year,Credit card,DSL,Yes,Yes,No,3,1,0
261,76,6,59.72,1093.22,One year,Electronic check,No,No,No,Yes,1,3,0
262,71,67,73.97,5923.06,One year,Credit card,DSL,No,Yes,No,1,3,0
263,49,7,82.8,7799.28,Month-to-month,Bank transfer,No,No,No,No,3,3,1
264,49,51,87.43,512.37,Month-to-month,Bank transfer,No,No,No,No,0,4,0
265,41,42,73.25,5489.33,Month-to-month,Bank transfer,No,Yes,Yes,Yes,1,2,1
266,58,64,92.14,3798.42,One year,Mailed check,DSL,No,No,Yes,3,5,0
267,69,15,34.13,4675.48,Two year,Mailed check,DSL,Yes,No,No,2,1,0
268,66,29,41.2,774.2,Month-to-month,Mailed check,Fiber optic,No,Yes,No,1,2,1
269,79,33,101.87,439.75,Two year,Electronic check,DSL,Yes,No,No,1,3,0
270,66,27,52.25,5368.25,One year,Credit card,DSL,No,No,Yes,6,1,1
271,75,36,22.29,6604.14,One year,Mailed check,Fiber optic,No,No,Yes,1,5,0
272,69,29,35.38,6277.92,Month-to-month,Credit card,Fiber optic,No,No,Yes,2,2,1
273,29,38,42.36,4396.07,Month-to-month,Credit card,Fiber optic,No,Yes,No,1,2,1
274,79,57,115.73,888.95,One year,Credit card,Fiber optic,No,No,Yes,1,4,0
275,56,27,77.3,5535.55,One year,Electronic check,DSL,No,Yes,Yes,2,2,0
276,19,55,113.27,2010.92,Month-to-month,Electronic check,No,Yes,Yes,Yes,2,2,0
277,20,33,77.52,7297.44,One year,Bank transfer,DSL,No,No,Yes,1,5,0
278,66,68,67.94,6722.3,Two year,Bank transfer,Fiber optic,Yes,No,No,2,5,0
279,54,66,51.37,5704.13,Two year,Credit card,Fiber optic,Yes,No,Yes,1,1,0
280,66,10,80.64,7595.88,Two year,Bank transfer,No,No,Yes,Yes,3,3,0
281,73,5,33.92,348.23,Month-to-month,Credit card,DSL,Yes,Yes,Yes,3,5,1
282,34,38,109.83,5915.98,Month-to-month,Electronic check,Fiber optic,Yes,Yes,Yes,3,1,1
283,76,13,102.93,2708.92,One year,Electronic check,Fiber optic,Yes,No,Yes,3,2,0
284,66,31,51.75,7257.92,Month-to-month,Electronic check,DSL,Yes,Yes,Yes,4,1,1
285,19,47,115.28,2206.73,Month-to-month,Mailed check,Fiber optic,Yes,No,No,3,1,1
286,19,52,102.52,5826.37,Month-to-month,Credit card,No,No,No,Yes,0,1,1
287,45,56,86.63,7033.41,Month-to-month,Electronic check,No,Yes,No,Yes,0,1,1
288,71,15,32.18,429.09,Month-to-month,Credit card,DSL,No,No,Yes,2,5,1
289,40,29,67.82,3241.42,Month-to-month,Bank transfer,DSL,Yes,Yes,No,3,3,1
290,54,8,70.61,6122.24,Month-to-month,Bank transfer,DSL,No,Yes,Yes,1,1,1
291,49,5,43.26,3693.86,Month-to-month,Electronic check,Fiber optic,Yes,No,No,2,4,1
292,50,29,28.0,2211.3,One year,Credit card,DSL,No,Yes,Yes,2,2,0
293,18,47,97.67,1836.46,One year,Electronic check,DSL,No,No,No,3,2,0
294,36,68,32.2,1138.99,One year,Bank transfer,No,Yes,No,Yes,0,2,0
295,79,45,79.43,6871.32,Month-to-month,Electronic check,No,No,No,No,1,2,1
296,19,2,113.64,4645.31,Month-to-month,Credit card,DSL,No,Yes,Yes,1,2,1
297,70,27,107.61,703.44,One year,Bank transfer,DSL,Yes,No,Yes,1,1,0
298,61,36,47.78,3122.38,One year,Mailed check,Fiber optic,No,Yes,No,0,3,0
299,43,36,105.14,3005.1,Month-to-month,Bank transfer,DSL,No,No,Yes,2,4,1
300,49,26,20.03,1535.74,Month-to-month,Mailed check,Fiber optic,No,No,No,0,5,1
301,23,43,21.77,3540.51,Two year,Electronic check,Fiber optic,No,No,Yes,0,4,0
302,49,27,80.26,2723.58,Month-to-month,Electronic check,No,No,No,No,2,5,1
303,72,69,56.48,2800.25,Month-to-month,Credit card,Fiber optic,No,No,No,4,5,1
304,21,20,58.65,5938.31,One year,Mailed check,Fiber optic,No,No,No,1,4,0
